rank	username	minecraft:crafted/minecraft:purpur_slab
1	thewindmillman	3456
2	Smoke____	2634
3	mwrty	774
4	vandmanden	306
5	Mewar	246
6	Skylord_Luke	228
7	PigDab	204
8	m_be9	198
9	Nicserso	180
10	MakeHistory157	126
10	AltnumberF4	126
12	ProfessorBee	90
13	6king6colt6	84
13	Hpdinosaur	84
13	SuperPooch06	84
16	chipklip	64
17	masskedman	48
18	PhantomsGhost_	36
18	beeperbeeper5	36
18	TheEnderman548	36
21	MightyWertu	30
21	lordpipe	30
23	fkGrim	24
24	fluddd	18
24	33sudo	18
26	bigstankyy	6
26	Blackberry1310	6
26	Fullut	6
26	Jiminie	6
26	Nycteus_	6
26	Spacewardharpy7	6
32	pintsizedrogue	4
33	AlexxO_o	2
