rank	username	minecraft:crafted/minecraft:polished_andesite_stairs
1	Inchef	2274
2	El_Jalapeno	1336
3	VentiHilton	1308
4	joethahobo	1068
5	UncreativeArtist	780
6	Spacewardharpy7	448
7	burbankbuilder28	388
8	lcvezra	368
9	Ezekson	332
10	PlasticOtari	257
11	6king6colt6	231
12	rarrq	200
13	layabout100	144
14	The_slideV3	124
14	TheRealHi	124
16	noodlepack	112
17	platinumzero	92
17	sebastiensaborio	92
19	Ardennes	88
20	r123moore	84
21	m_be9	80
21	Chaotic1s	80
23	thewindmillman	78
24	Historical_Sand	76
25	Gooberkid223	72
25	Maenara	72
27	YungJakobo	64
27	yulgur1	64
27	_Karmaa	64
30	Tommhh	56
31	soundad	55
32	Jamstroxian	54
33	nocturne78	52
34	Princesse_Louise	48
34	07shiny	48
36	CharlieButt	44
37	kekhon	41
38	Dedalus36	40
38	Blackberry1310	40
38	Meatlaugh	40
38	Warlord324	40
38	bitsplease	40
43	EcksDofficial	39
44	awesomeoneme	38
45	Mahoose	36
45	Otto_chan	36
45	Zythose	36
48	SquadMonster	33
49	teslawolf38	32
49	dedgt	32
51	Racengan	28
52	Quotary	27
53	Arceus1975	25
54	theonlymagikarp	24
54	XboxPanda	24
54	Winklepicker279	24
54	Jackattack53	24
54	SexcMf	24
54	PortlyPete69	24
60	ryan521	20
60	himak1	20
60	xxPipperDipperxx	20
60	Ajax6	20
60	Inbefour	20
60	proxivitoid	20
60	Matorz	20
67	pintsizedrogue	19
68	beeperbeeper5	16
68	TheThomas69	16
68	leaf26	16
68	Di_infiri	16
68	seramalen	16
68	alderban107	16
74	DarkS0L	15
74	Hisiste	15
76	Mariopreeet	12
76	NotMeanttoChange	12
76	Drewen24	12
79	SUSUGAM	8
79	noam464	8
79	_Boipl_	8
79	Onennon	8
79	MakeHistory157	8
79	Soul_Atreus	8
79	Dreamdbr14	8
86	Freak_Genius	7
87	Jiminie	6
88	Merv__	4
88	jimintyy	4
88	titanlax	4
88	MrExplorer	4
88	500am	4
88	LotusProject	4
88	NoxxxxiS	4
88	DermeinUser	4
88	BlueZabu	4
88	Hyp3rion_	4
88	Frozil12	4
88	Xclax101	4
88	fluddd	4
88	Groundler	4
88	Kowcio_	4
88	SammiWolfGirl	4
88	xX_Stalin69_Xx	4
88	Skippeh	4
88	Nicserso	4
88	The_SlideV5	4
88	Zoeyfortnite	4
109	SuperPooch06	2
109	CalebDHawk	2
111	Sleek_Storm_721	1
111	kyouma777	1
