rank	username	minecraft:crafted/minecraft:turtle_helmet
1	Hyp3rion_	232
2	Racengan	118
3	Yamdalorian	50
4	eitanzaki	34
5	HellsSponge	31
6	kekhon	17
7	Apollo_993	15
7	_witch_craft_	15
7	noam464	15
10	500am	14
11	Eraxa	12
12	robertsnose	9
13	eiC_	8
14	Comma__	7
14	excelsionprime	7
14	Pickel_Lord	7
17	Napoleonpancake	5
17	TheOnlyRake	5
19	Bumpy419	4
20	diamondgolem35	3
20	Mahoose	3
20	rarrq	3
20	TheSecondLord	3
20	Marbz_	3
20	Blamphe	3
20	Moetis	3
20	ConnorDanky_	3
28	SaucyDark	2
28	lorywithay	2
28	Nicky_H225	2
28	Fullut	2
28	Di_infiri	2
28	Arceus1975	2
28	oscminus	2
28	RobotMinion101	2
28	claivin	2
28	SSytex_X	2
28	Kubeusz2010	2
39	pintsizedrogue	1
39	elicobnoah	1
39	hollowww	1
39	ECstardust	1
39	erikthebeanman	1
39	6king6colt6	1
39	Hyugo	1
39	freeandrew	1
39	T045RTY	1
39	abdomera	1
39	ZaneABrain	1
39	Jackster03	1
39	Historical_Sand	1
39	beeperbeeper5	1
39	dopplexd	1
39	aikabot	1
39	BobDeBouwer1337	1
39	Rich_Kat	1
39	Tiberonus	1
39	tortfeezy	1
39	lorpus	1
39	Zenlou	1
39	xxPipperDipperxx	1
39	r123moore	1
39	Covalents	1
39	CollinMH06	1
39	legal_tax_evader	1
39	GreedyFern8581	1
39	Hoid_the_Roamer	1
39	Muffindrake	1
39	Werbe	1
39	ooga47	1
39	Onennon	1
39	TheShyPig	1
39	Huic_ostiarius	1
39	ogoa	1
39	Gryglu583	1
39	luseis	1
39	Deathkob	1
39	jambvds	1
39	Tyrannosplart	1
39	Bloo2406	1
39	SingedBread	1
39	MovingFish7	1
39	IAmTheWalrus910	1
39	SexcMf	1
39	Kura2218	1
39	__tomato	1
39	Fizznut909	1
39	Luigipunch989	1
39	PortlyPete69	1
39	robonya_	1
39	Quotary	1
39	scarletwarrior1	1
39	Enderxz3	1
39	HesDemonPants	1
39	UrbanPlanningEx	1
39	Jimb0nat0r	1
39	es0th	1
39	JayToe	1
39	h2p_emrld	1
