rank	username	minecraft:crafted/minecraft:polished_basalt
1	beeperbeeper5	12412
2	Blaiku	4608
3	thewindmillman	4576
4	Skylord_Luke	4412
5	rarrq	4400
6	PigDab	3860
7	Smoke____	2976
8	Kakolbus	2940
9	Werbe	2112
10	Mahoose	1920
11	lizardfightclub	1784
12	Jiminie	1736
13	eitanzaki	1604
14	Hermanni__	1600
15	Legendosh	1418
16	YungMaki	1292
17	Cowison	1232
18	EveryonesUncle	1204
19	Marbz_	1152
20	Optiprimus	1088
21	YoshikageBites	1014
22	lordpipe	1010
23	r123moore	888
24	Sheldor097	772
25	Kowcio_	768
26	ogoa	684
27	noam464	664
28	Eraxa	572
29	m_be9	524
30	iHuntWeeaboos	512
31	set67	504
32	TheSecondLord	468
33	joethahobo	384
34	Windo_licker	320
34	Hyp3rion_	320
34	King_Pancake1	320
37	Paint	316
37	ProfessorDiaper	316
39	Shogunite	292
40	XxCookiequeenxX	268
41	Kamflame10	264
42	Hiryu27	256
43	sp00ky_ghost977	252
44	00000000-0000-0000-0009-01ff0c3e5e4f	244
45	Spacewardharpy7	232
46	himak1	216
47	Luigipunch989	212
48	Ze_BaronKrigler	208
49	IvarEXE	200
50	Winklepicker279	196
50	Enderslayerxz3	196
52	oxfordschool	192
53	EcksDofficial	172
54	EMC_	152
54	6king6colt6	152
56	XboxPanda	140
57	kekhon	131
58	Ardennes	128
58	DanTheBuilderino	128
58	djancak	128
58	MissCeleste7	128
62	KarlKaek	108
63	NotTrixi	104
63	CarltheCuck	104
65	Nesquiczek	96
65	ImpavidArcher	96
67	Freak_Genius	91
68	PortlyPete69	88
69	CoffeeNoir	84
70	Hpdinosaur	80
70	Fullut	80
72	MSK__	72
73	mimbo1211	68
74	AuroraValkyrie	64
74	jacxhadow	64
74	gcaisawesome	64
74	TheShyPig	64
74	gustarbite	64
74	masskedman	64
74	Hylo482y	64
81	Arceus1975	56
82	whoaluv	52
83	Soplight	48
84	Akoot_	45
85	MrExplorer	40
85	Chuvacevedo	40
87	CliffEmAll	36
87	Kubeusz2010	36
89	ItzWqlfy	32
90	burbankbuilder28	28
91	Blackberry1310	24
92	Groovy_MoonBird	20
92	titanlax	20
92	breadbowlgamer	20
95	Merv__	16
95	Khelvoryk	16
95	Lord_Jord	16
95	CalebDHawk	16
99	RebelAndroid	8
99	Dusk_95	8
101	JitteryJared2	6
102	ExtraDumb	5
103	pintsizedrogue	4
103	nataliecool	4
103	teslawolf38	4
103	q_wq	4
103	Incinere	4
103	livingdaydreams	4
103	NameGenerat0r	4
103	Decaying_Lotus	4
103	Njensen7	4
103	trexgb	4
113	Skippeh	1
