rank	username	minecraft:crafted/minecraft:netherite_hoe
1	Ryan_GEMS	2
1	SvenskaAlvar	2
1	luseis	2
1	HellsSponge	2
5	H0UNDFRMH3LL	1
5	pintsizedrogue	1
5	k_ce	1
5	Apollo_993	1
5	RoskobiOne	1
5	RebelAndroid	1
5	Alteriity	1
5	Mahoose	1
5	Myszoaz	1
5	ITDV	1
5	SquadMonster	1
5	bloodbiter	1
5	12Magner05	1
5	Megarboh	1
5	500am	1
5	excelsionprime	1
5	set67	1
5	4774	1
5	Awyrlas	1
5	Touched_Bread	1
5	Marbz_	1
5	thewindmillman	1
5	Afinnity	1
5	PigDab	1
5	Akoot_	1
5	EveryonesUncle	1
5	Manaateee	1
5	Quaintster	1
5	censorsheep	1
5	SingedBread	1
5	THEKINGLyric10	1
5	_Mythic____	1
5	Kowcio_	1
5	djancak	1
5	SpacesickPrism	1
5	Eczbek	1
5	FelixPSY375	1
5	Enderxz3	1
5	Jimb0nat0r	1
5	00000000-0000-0000-0009-01ff0c3e5e4f	1
