rank	username	minecraft:crafted/minecraft:jungle_trapdoor
1	MilleGrug	4280
2	thescout7	1174
3	Spacewardharpy7	1164
4	AuroraValkyrie	1088
5	Smoke____	1084
6	HellsSponge	777
7	yulgur1	512
8	fluddd	416
9	himak1	402
10	EveryonesUncle	272
11	BronkerBrum	204
12	TheShyPig	202
13	soundad	170
14	PlasticOtari	158
15	beeperbeeper5	136
16	Deerfoot	124
17	Winklepicker279	114
18	Merv__	112
19	The_slideV3	98
20	SvenskaHugo	94
20	jnp_gaming	94
22	DemTechAlpha	92
23	Inbefour	90
23	Aezekial	90
25	sebastiensaborio	88
26	Di_infiri	84
26	JayToe	84
28	__tomato	80
29	kinas45y5	70
30	Swexti	68
31	MyNameIsJobo	66
32	noam464	64
33	SaucyDark	56
33	CoffeeNoir	56
35	500am	52
36	titanlax	50
37	ShedJr_	48
37	Freak_Genius	48
39	Xalithia	46
39	Soplight	46
41	Mahoose	42
41	FreddyFart	42
43	Hyp3rion_	40
44	anbbang	36
45	Fullut	34
46	benediktine1	30
47	ImpavidArcher	28
47	BlancoFlaco	28
47	livingdaydreams	28
47	Factoroni	28
47	Kukkelikuk	28
52	Deathkob	26
53	Enderslayerxz3	24
53	Legendosh	24
55	rarrq	22
56	_Dean_123	20
56	ese_wn_po	20
56	ItsJunoIGuess	20
59	Bandito_Roamer	18
59	Kowcio_	18
61	_Virify_	14
61	PigDab	14
61	sxc_	14
64	joethahobo	10
64	Cryptacity	10
64	M_Patata	10
64	MasterNueve	10
64	KingMatthew506	10
69	pintsizedrogue	8
69	Mr_Byzantine	8
69	Prodiginus	8
69	LotusProject	8
69	KeruNatsema	8
69	Dusk_95	8
75	Blackberry1310	6
75	Stiar	6
75	Maenara	6
75	Aangezet	6
75	Blu3beast	6
75	oxfordschool	6
81	nocturne78	4
81	PegLegPete93	4
81	xxPipperDipperxx	4
81	Kynigito	4
81	JESS_THE_RERE	4
81	Groundler	4
87	CryoInferno_	2
87	Incinere	2
87	eitanzaki	2
87	Cats_Fly	2
87	H72l9w	2
87	Ssor69	2
87	FirsTimeGamingTV	2
87	kekhon	2
87	_Nuf	2
87	mwrty	2
87	Dabatha	2
87	valkam13	2
87	fkGrim	2
87	MAns_44	2
87	censorsheep	2
87	Airem_Core	2
87	lordpipe	2
87	07shiny	2
87	AssFullaCum	2
87	The_SlideV5	2
87	Jordan_R	2
108	TechnoNinja64	1
