rank	username	minecraft:crafted/minecraft:mangrove_wood
1	luseis	351
2	Steelynan	312
3	PazinGaming	288
4	Mr_Byzantine	234
5	Kowcio_	192
6	Merv__	126
7	Manaateee	123
8	Pumpkin_P_Patch	69
9	xxPipperDipperxx	36
10	SvenskaHugo	21
10	Jimb0nat0r	21
12	pixelviolin	6
