rank	username	minecraft:crafted/minecraft:cooked_mutton
1	Blackberry1310	656
2	djancak	428
3	monky_irl	380
4	KingMatthew506	371
5	Moofyman	329
6	kekhon	298
7	Frozil20	288
8	burbankbuilder28	244
9	starbits140	212
10	SaucyDark	205
11	500am	185
12	excelsionprime	169
13	AnnieBathory	148
14	Smussa	145
15	6king6colt6	144
16	BlancoFlaco	132
17	sufjanlover	128
18	platinumzero	127
19	FallenCorps	124
20	NatalieTW	120
21	TheShyPig	116
22	El_Jalapeno	108
23	m_be9	106
24	MOSS000	99
25	_Virify_	97
25	_Cloverbelle_	97
27	Wolverine4302	96
27	Legendosh	96
29	pappaberg	92
30	Touched_Bread	91
31	SpicyMeatballs	89
31	Maenara	89
33	Kura2218	84
34	Smoke____	83
35	Windo_licker	80
36	youhjjhhhjj	79
37	HellsSponge	78
37	Erased_Identity	78
39	KlausVonStiglitz	74
40	TheDankPlatypus	70
41	RebelAndroid	67
41	mwrty	67
41	KermitTheKripple	67
41	Toriankel	67
45	Pofen	65
46	k_ce	64
46	ThisUserIsStump	64
48	Tommhh	63
48	livingdaydreams	63
48	RedcatVII	63
51	MattieHD	61
52	TooManyDuck	60
52	DC_XII	60
52	00000000-0000-0000-0009-01ff0c3e5e4f	60
55	ratglock	59
55	CollinMH06	59
57	yulgur1	58
57	Decaying_Lotus	58
59	Rainaldus	57
60	The11thDoctor	56
60	brofrickcheaters	56
62	Luigipunch989	54
63	MinuteMira	52
64	Xclax101	50
65	striker90333	48
66	Kryktal	46
66	ProfessorDiaper	46
68	SugarMyNuggets	45
68	ReyTheLegend	45
70	Mowelan	44
70	ThiccExotic	44
70	CoryJJ	44
73	Groovy_MoonBird	43
73	intropass	43
73	Akoot_	43
73	tartanboy	43
73	Kateesaur	43
78	Lepthymo	42
78	KarlKaek	42
78	Ssor69	42
78	ccormacs	42
78	trixterrx	42
83	SlowMoNinja1994	41
83	SailiXX	41
83	lOlmantschi	41
86	Kubelz	38
86	PeteO1995	38
86	babyjimmyneutron	38
86	PabloGonza02	38
90	Vizzoid	36
90	Comma__	36
90	Jiminbub	36
90	Lutres_Torane	36
90	Barlycorn	36
95	Batman922	35
95	Jokerman369	35
97	dopplexd	34
97	Russiancat1	34
97	Bloo2406	34
100	Lord_Zacler	33
100	YungMaki	33
102	Natty	32
102	__TheNorseMan__	32
102	SuperPooch06	32
102	MyNameIsDakar	32
106	EngagedGrub41	31
107	Ninzyyy	30
107	Esme_1	30
107	Dipjol	30
107	TheFlfthHorseman	30
107	_Dean_123	30
107	Paintz	30
107	fkGrim	30
107	bloomkieren	30
107	Trioxide	30
116	Myrlewen	29
116	ProfessorBee	29
116	Enigma0251	29
116	Kynigito	29
116	SkateboardR6	29
121	KeruNatsema	28
121	Quaintster	28
121	LordSpeed37	28
121	Skippeh	28
125	Alexanderjac	27
125	pintsizedrogue	27
125	Groyperbuscus	27
125	Winklepicker279	27
125	AJplaysMC_	27
125	wezzzi	27
125	smogfrog	27
132	SeverianTheLame	26
132	Deguns123	26
134	TheBiggestFeller	25
134	SDW_Insanity	25
134	FirsTimeGamingTV	25
134	Silvo614	25
134	grislgrobl	25
139	Bandito_Roamer	24
139	ivorico	24
139	IWorkAtIkea	24
139	Shazzyling	24
139	GingerNeutron	24
139	boog4loo	24
139	Di_infiri	24
139	SpaggeDR	24
139	claivin	24
139	trexgb	24
149	picardred	23
149	Zaridey	23
149	ooga47	23
149	Fildyr	23
149	Typadopoulos	23
149	Ze_BaronKrigler	23
155	tuckerdoodle	22
155	Giannism	22
155	Soffbord	22
158	dudcreeper	21
158	MrExplorer	21
158	MinttyFressh	21
158	TheThomas69	21
158	Kouridragon	21
158	07shiny	21
158	Kowcio_	21
158	VentiHilton	21
166	tortillatitan	20
166	M_Patata	20
166	NeoJordache	20
166	Calbo_	20
170	Whalezz	19
170	Reamdin	19
170	Arceus1975	19
170	MasterNueve	19
174	SidorAlex	18
174	Cortexia	18
174	smarticuno	18
174	SaintJosie	18
178	Froste131	17
178	Cowison	17
178	cytotoxaint	17
181	420joe	16
181	KingFaenor	16
181	Guillemet	16
181	Marbz_	16
181	JitteryJared2	16
181	Vetral1	16
181	Cattoh	16
181	luseis	16
181	MAns_44	16
181	anbbang	16
191	shineh10	15
191	EMC_	15
191	_Razaria	15
191	Lilinaya17	15
191	Sadeena	15
191	Ganjier	15
191	SDMNAEK	15
191	himak1	15
191	Chromary	15
191	Sheellky	15
191	SolicitedPuma101	15
191	Hisiste	15
191	Majonezzon	15
204	Huwulling	14
204	eclipseboi	14
204	thescout7	14
204	type11	14
204	whoaluv	14
204	CaptainDeadBread	14
204	TheWildMateo	14
204	Project_MKBRD	14
204	Austinizzle	14
204	Pootis11	14
204	DTwenty	14
204	privatemeekly	14
204	FadedSpade82	14
204	jaimshae	14
204	Sral7	14
219	blockgamer_69	13
219	Hyp3rion_	13
219	JustAWill_	13
219	MrButterscotch	13
219	Quincannon	13
219	Blu3beast	13
219	RadarHz	13
226	Astronicky	12
226	Mr_Byzantine	12
226	2xil2	12
226	Zlatovlas	12
226	Prodiginus	12
226	Nicky_H225	12
226	hcb238	12
226	DermeinUser	12
226	ZeroAbyssTTV	12
226	AlexStrange	12
226	Spacewardharpy7	12
226	OG_Songsee	12
226	HuangMeiHua	12
239	Gemstuff	11
239	Slinkyy7071	11
239	NinjaKnifeKill	11
239	elleparo	11
239	gaziter10	11
239	Meme25327	11
239	2Stout	11
239	Mr_Gulle	11
239	Vorlice	11
239	AppleJacks	11
239	00000000-0000-0000-0009-01fc3bb26159	11
250	awesomeweasel	10
250	BPTY4618	10
250	Zedducius	10
250	xxPipperDipperxx	10
250	CharlieButt	10
250	ImDisconnected_	10
250	Jeteight	10
250	wrinkledpiglet	10
250	LuceImaginary	10
250	zToasty69z	10
250	St4nLe7	10
250	Mister3z	10
250	NYJ	10
250	DrGrant	10
250	_Karmaa	10
250	fluddd	10
250	robotemo	10
250	Logain42	10
250	Goat_Man512	10
250	diggydog67	10
270	squigglybones	9
270	Merv__	9
270	Myrosia	9
270	q_wq	9
270	DepressedCubic	9
270	Sna_Ke	9
270	No_u4	9
270	Prismyst	9
270	Lez_	9
270	Ardennes	9
270	StanceTB	9
270	lilsay	9
270	PegLegPete93	9
270	mimbo1211	9
270	Rumpletaezer	9
270	mvrty	9
270	aldplaysmc	9
270	_Bguette_	9
270	DarlaMeow	9
270	OffWithTheirHead	9
270	NotMeowMix	9
270	Dusk_95	9
270	IdeallyGrey	9
270	Chuglyfe	9
270	mobunni	9
270	n0nz	9
296	SaltineDream	8
296	Matemax	8
296	Paint	8
296	chimpmunker	8
296	Alteriity	8
