rank	username	minecraft:crafted/minecraft:magenta_bed
1	Mahoose	137
2	FirsTimeGamingTV	106
3	masskedman	69
4	Blu3beast	64
5	RebelAndroid	42
5	ROY4LE	42
7	TheEnderMan548	24
8	HellsSponge	21
9	beeperbeeper5	14
10	SammiWolfGirl	13
11	Bandito_Roamer	9
12	_Dean_123	8
13	El_Jalapeno	5
14	500am	4
15	NatalieTW	3
15	kekhon	3
17	Mimiir345	2
17	thewindmillman	2
17	KeruNatsema	2
17	luseis	2
17	MyNameIsDakar	2
17	Kowcio_	2
23	pintsizedrogue	1
23	Jorrdi	1
23	dimondking777	1
23	ImpavidArcher	1
23	SaucyDark	1
23	Lez_	1
23	Koffeeinz	1
23	jushykins	1
23	Jokerman369	1
23	Scathra	1
23	Chromary	1
23	KillerNekoRain	1
23	JustAWill_	1
23	SonicRainBow_	1
23	YahooScreen9000	1
23	Maenara	1
23	tt4yy4	1
23	_Crimson_Legate	1
23	natajimi	1
23	ewpunk	1
23	MAns_44	1
23	fluddd	1
23	monky_irl	1
23	Soul_Atreus	1
23	Catharsist	1
23	ConnorDanky_	1
23	CattSoup	1
23	TechnoNinja64	1
23	Smoke____	1
23	Kateesaur	1
