rank	username	minecraft:crafted/minecraft:mossy_stone_brick_slab
1	El_Jalapeno	384
2	Crowman1	126
3	CattSoup	84
4	KarlKaek	72
4	Winklepicker279	72
6	luseis	62
7	Elastiq	60
8	Comma__	48
9	Mr_Byzantine	36
10	pintsizedrogue	32
10	thewindmillman	32
12	Jimi7hits	30
13	Xalithia	24
14	Kubelz	18
14	Hermanni__	18
14	Enderxz3	18
17	ECstardust	12
17	Cryptacity	12
17	Eraza	12
17	Leyna3	12
17	wwwwinnebagoooo	12
17	Eraxa	12
23	SquadMonster	10
24	_Huge_Male_	8
24	Soplight	8
24	PlasticOtari	8
27	Rich_Kat	6
27	m_be9	6
27	Zythose	6
27	Onennon	6
27	TheSeismicDuck	6
27	Shogunite	6
27	UCP_TheKingK	6
27	AdmiralSmoke	6
35	beeperbeeper5	4
35	Kowcio_	4
