rank	username	minecraft:crafted/minecraft:honey_bottle
1	Fullut	1214
2	PhantomsGhost_	196
3	Lez_	60
4	r123moore	44
5	Lord_Jord	32
5	MightyWertu	32
7	xxPipperDipperxx	28
8	jnp_gaming	20
9	Chromary	12
10	pintsizedrogue	8
11	Rebytre	4
11	KingMatthew506	4
