rank	username	minecraft:crafted/minecraft:magenta_banner
1	Akoot_	205
2	lordpipe	124
3	Ezekson	76
4	YungMaki	59
5	Huwulling	32
6	Mattesco	29
7	beeperbeeper5	24
8	noam464	18
9	pintsizedrogue	16
9	luseis	16
11	RebelAndroid	13
12	Apollo_993	12
13	500am	10
13	ConnorDanky_	10
15	Merv__	8
16	_Dean_123	5
16	pixelviolin	5
18	joethahobo	4
18	Soplight	4
20	Ryker	3
20	titanlax	3
20	NomadicRobin_	3
23	Mr_Byzantine	2
23	TheShyPig	2
23	PlasticOtari	2
26	Lez_	1
26	Stiar	1
26	Arceus1975	1
26	Onennon	1
26	HellsSponge	1
26	pretty_pink_reno	1
26	SingedBread	1
26	MakeHistory157	1
26	Kowcio_	1
26	miramyu	1
