rank	username	minecraft:crafted/minecraft:spruce_stairs
1	Skylord_Luke	9212
2	rarrq	6844
3	EveryonesUncle	6608
4	Inchef	6468
5	EMC_	4928
6	Onennon	4312
7	TheShyPig	4116
8	Ezekson	3784
9	_Dean_123	3450
10	TheSecondLord	3356
11	500am	2416
12	xxPipperDipperxx	2368
13	ProfessorDiaper	2320
14	Frozil12	2256
15	burbankbuilder28	2176
16	PlasticOtari	2076
17	oxfordschool	2064
18	beeperbeeper5	2036
19	Legendosh	1948
20	HellsSponge	1934
21	kekhon	1816
22	TooManyDuck	1660
23	EcksDofficial	1604
24	Shogunite	1603
25	joethahobo	1572
26	Di_infiri	1560
27	Snowflowe	1556
28	pintsizedrogue	1432
29	Skippeh	1404
30	Fullut	1388
31	_Karmaa	1384
32	Mahoose	1320
33	Steelynan	1300
34	Natty	1272
35	m_be9	1244
36	Blu3beast	1240
37	Meatlaugh	1204
38	ApophisNova	1192
38	MyNamaSheff	1192
40	Touched_Bread	1184
41	Rumpletaezer	1176
42	Kakolbus	1124
43	fred870d	1112
44	VentiHilton	1076
45	MinttyFressh	1056
46	lcvezra	1040
47	Merv__	1036
48	Enderslayerxz3	976
49	Inbefour	948
50	Blackberry1310	924
51	RodSerlingCringe	868
52	KarlKaek	860
52	Soplight	860
54	Winklepicker279	836
55	Jiminie	832
56	DC_XII	816
57	Smashic	796
58	BlueZabu	788
59	Deathkob	784
60	Racengan	776
61	MyNameIsJobo	772
62	AuroraSkies	756
63	Barlycorn	728
64	Chromary	700
65	Werbe	676
66	BreadBacon	652
67	set67	648
68	anbbang	632
69	Zythose	616
69	Akoot_	616
71	prizm_	584
72	diamondgolem35	580
73	heysushii	576
74	Jimi7hits	566
75	fkGrim	564
76	UCP_TheKingK	560
77	livingdaydreams	544
77	SammiWolfGirl	544
79	Lukeee33	532
79	seramalen	532
81	Tommhh	528
81	G1ldor	528
81	Dusk_95	528
84	fffMike	524
85	BlancoFlaco	516
86	12Magner05	512
86	Groundler	512
88	SlayerCrypto	504
89	Groovy_MoonBird	500
90	Septemb3r	496
91	SkateboardR6	488
92	ImDisconnected_	484
92	SvenskaHugo	484
94	Eraxa	472
94	Smoke____	472
96	Kowcio_	444
97	dopplexd	432
97	Spacewardharpy7	432
99	ImpavidArcher	420
100	ProbablyNick	416
100	_stets	416
100	Ardennes	416
100	BlankityMcBlank	416
104	Luigipunch989	412
105	SDMNAEK	408
106	Quotary	404
107	ratglock	400
108	jacxhadow	396
109	Lord_Jord	392
110	gaziter10	386
111	Rebytre	384
112	XxCookiequeenxX	380
113	Bloo2406	372
113	layabout100	372
115	Swexti	364
116	Ze_BaronKrigler	360
117	Historical_Sand	352
117	Arceus1975	352
117	StinkyDiplomat	352
120	r123moore	348
121	toj__	344
121	Negriuke	344
121	Blaiku	344
124	El_Jalapeno	340
125	ogoa	332
126	CoffeeNoir	324
126	Bobby808	324
128	krutas2000	320
129	zorin123	316
129	YungMaki	316
131	RobotMinion101	312
131	Soap_Bender	312
133	xorompole	308
134	MixerDixer	300
134	Caystelly	300
136	BlossomOwO	292
137	pixelviolin	288
138	Foof13	284
138	claivin	284
138	Powowowow	284
141	soundad	280
141	6king6colt6	280
141	PigDab	280
144	Cowison	268
144	blackmage426	268
146	Kiki_Majiki	264
147	SaucyDark	260
147	MyNameIsDakar	260
149	Da_Boss_Rani	256
149	Jackattack53	256
149	Fildyr	256
149	Deguns123	256
153	T045RTY	252
153	Covalents	252
153	Freak_Genius	252
156	ToastedGamingYT	248
157	__tomato	244
158	MakeHistory157	240
159	Roikdean	236
159	Fuhrer_Teemo	236
159	kyouma777	236
162	CrateOfBoxes	232
162	PortlyPete69	232
164	Malorn_Aetherius	228
164	MinuteMira	228
164	Haadrada	228
167	IWorkAtIkea	224
167	CrookedKaptain	224
169	Mr_Byzantine	216
169	dabloons	216
169	MilleGrug	216
172	HollieDaNugget	212
172	Tombo2004	212
172	DizzleJay311	212
172	Lord_Doob	212
176	eitanzaki	208
176	DeeDeeThonk	208
176	groofles	208
179	purpolepickle	204
179	DarkS0L	204
179	Dreamdbr14	204
182	LordSpeed37	200
183	Jovaphobic	196
184	Cryptacity	192
185	youhjjhhhjj	188
185	Megarboh	188
