rank	username	minecraft:crafted/minecraft:light_gray_glazed_terracotta
1	QuiCreans	2016
2	Arceus1975	480
3	Reamdin	448
4	ImpavidArcher	300
5	Tommhh	144
5	Di_infiri	144
7	Bandito_Roamer	131
8	Werbe	128
8	Legendosh	128
10	Spacewardharpy7	126
11	Smoke____	112
12	LeauVox4921	72
13	MunkaKris	65
14	TheShyPig	64
14	Blaiku	64
16	mwrty	59
17	Hermanni__	48
17	oxfordschool	48
19	Ezekson	44
20	rarrq	28
20	Nycteus_	28
22	Historical_Sand	24
22	himak1	24
24	teslawolf38	16
25	EMC_	12
25	Mahoose	12
25	joethahobo	12
25	sp00ky_ghost977	12
25	KingMatthew506	12
25	Nicserso	12
25	PlasticOtari	12
32	Onennon	11
33	AnnieBathory	8
33	Jiminie	8
33	StinkyDiplomat	8
36	titanlax	6
37	WET_WET_WET	5
38	beeperbeeper5	2
38	ProfessorBee	2
38	500am	2
38	noam464	2
38	ItsDeltaMC	2
43	eitanzaki	1
43	EngagedGrub41	1
