rank	username	minecraft:crafted/minecraft:purple_concrete_powder
1	Hyp3rion_	20736
2	thewindmillman	13809
3	lordpipe	10048
4	Spacewardharpy7	6912
5	doublemaki	3488
6	MakeHistory157	3072
7	LordSpeed37	2744
8	Steelynan	2048
9	TheSecondLord	1744
10	Manaateee	1328
11	Kowcio_	1120
12	TheShyPig	768
13	jnp_gaming	520
14	teslawolf38	512
15	Spaghettatron	448
16	Ezekson	440
17	Pumpkin_P_Patch	360
18	EMC_	352
19	beeperbeeper5	336
20	Fullut	264
21	Hoid_the_Roamer	256
22	mwrty	192
22	CacheOut	192
24	_Huge_Male_	160
25	HellsSponge	152
25	WyngGoy	152
27	oscminus	128
27	claivin	128
27	CornOnTheCobalt	128
27	SvenskaHugo	128
31	PortlyPete69	120
31	mobunni	120
33	Tongon	88
34	joethahobo	80
35	eitanzaki	72
35	Kakolbus	72
37	noam464	64
37	Jackattack53	64
37	mihimihimihi	64
37	starbits140	64
37	xzvu	64
42	Yamdalorian	40
43	rarrq	32
43	KingMatthew506	32
45	cutelilreno	24
46	Lorcout	16
46	Napoleonpancake	16
46	Arceus1975	16
46	AnnieBathory	16
46	Skwillyum13	16
46	Enderxz3	16
46	Legendosh	16
46	Jimb0nat0r	16
54	pintsizedrogue	8
54	500am	8
54	MousePlays	8
54	Blu3beast	8
54	Cyntrical	8
54	Buuck_	8
54	sp00ky_ghost977	8
54	TheEnderMan548	8
54	pixelviolin	8
