rank	username	minecraft:crafted/minecraft:warped_fungus_on_a_stick
1	beeperbeeper5	29
2	Smoke____	18
3	Fullut	12
4	pintsizedrogue	4
5	DarlaMeow	3
5	djancak	3
7	Cowison	2
7	Mahoose	2
7	rarrq	2
7	Ardennes	2
7	thewindmillman	2
7	Hyp3rion_	2
7	lillips	2
7	monky_irl	2
7	Luigipunch989	2
7	Enderslayerxz3	2
17	_Virify_	1
17	RebelAndroid	1
17	CoffeeNoir	1
17	MSK__	1
17	Blackberry1310	1
17	TheSecondLord	1
17	12Magner05	1
17	500am	1
17	mwrty	1
17	Awyrlas	1
17	ROY4LE	1
17	noam464	1
17	M_Patata	1
17	Winklepicker279	1
17	Jackattack53	1
17	whoaluv	1
17	Werbe	1
17	ooga47	1
17	HellsSponge	1
17	censorsheep	1
17	Dusk_95	1
17	MasterNueve	1
17	Eraxa	1
17	Segotep999	1
17	Kubeusz2010	1
17	MissCeleste7	1
17	EcksD	1
17	2blox	1
17	TechnoNinja64	1
