rank	username	minecraft:crafted/minecraft:respawn_anchor
1	iSammael	75
2	noam464	65
2	thewindmillman	65
4	EdGalbraith	64
5	beeperbeeper5	15
6	Apollo_993	11
7	eitanzaki	10
7	PlasticOtari	10
9	TheSecondLord	4
9	Rebytre	4
11	Eraxa	3
12	fade_emerge78823	2
12	pixelviolin	2
12	robonya_	2
15	pintsizedrogue	1
15	k_ce	1
15	CLG_Kata	1
15	Merv__	1
15	ECstardust	1
15	Sleek_Storm_721	1
15	hm947	1
15	RebelAndroid	1
15	T045RTY	1
15	lorywithay	1
15	ShedJr_	1
15	MSK__	1
15	Historical_Sand	1
15	rarrq	1
15	royal_2	1
15	Blackberry1310	1
15	Fullut	1
15	mwrty	1
15	Koalander	1
15	Winklepicker279	1
15	Jackattack53	1
15	Zythose	1
15	oscminus	1
15	Hahaa_0	1
15	masskedman	1
15	FreakGenius	1
15	censorsheep	1
15	Kowcio_	1
15	doublemaki	1
15	Segotep999	1
15	11Brewer	1
15	Enderxz3	1
15	Jimb0nat0r	1
15	Yamdalorian	1
15	diggydog67	1
