rank	username	minecraft:crafted/minecraft:cut_sandstone_slab
1	CACTUSLAD	3976
2	Manaateee	2004
3	Merv__	1796
4	Steelynan	1514
5	eviltunix	972
6	Ailmast	768
7	Frozil20	684
8	kekhon	536
9	stellarjay	504
10	wobn	486
11	MightyWertu	474
12	Kim_Jong_eel	456
13	TheShyPig	450
14	AuroraValkyrie	396
15	Kakolbus	384
16	Deerfoot	342
17	FreakGenius	284
18	xzvu	252
19	r123moore	228
20	Mr_Byzantine	216
21	Eraxa	210
22	Tyrannosplart	202
23	The_Quack_Dealer	168
23	_Karmaa	168
25	ImpavidArcher	156
26	Ajax6	144
27	Optiprimus	132
28	Kyrum2169	126
29	thgrocks	120
30	Mahoose	114
31	_stets	102
32	diamondgolem35	100
33	ganyuganyu	96
34	shadowthemonkey	90
35	Inconvenionce	84
35	NNikitas	84
37	ShedJr_	78
37	Rich_Kat	78
39	ReyTheLegend	74
40	eitanzaki	72
40	BodaciousCake	72
40	Felenov	72
40	weabis	72
44	TheWildMateo	66
45	ZaneABrain	64
46	Werbe	54
47	jspwn	48
47	joethahobo	48
47	Di_infiri	48
50	Doom_melon	42
50	SuperPooch06	42
50	Soplight	42
53	rarrq	36
53	fluddd	36
55	Deathkob	32
56	KarlKaek	30
56	Fullut	30
58	jessewegottacook	18
58	Ssor69	18
58	Arceus1975	18
58	epiksk8erduck	18
62	luseis	16
63	tuckerdoodle	12
63	Blackberry1310	12
63	_Dean_123	12
63	legal_tax_evader	12
63	JayToe	12
68	Cellcorgi649	10
68	420BreadLizard	10
70	KingFaenor	6
70	MeowMeowMcmuffin	6
70	ROY4LE	6
70	2Stout	6
70	noam464	6
70	Maenara	6
70	Akoot_	6
70	TheSeismicDuck	6
70	JESS_THE_RERE	6
70	Fuad_R	6
70	Segotep999	6
70	Dreamdbr14	6
70	Enderxz3	6
83	Nicserso	4
84	FreddyFart	2
84	Ezekson	2
