rank	username	minecraft:crafted/minecraft:glistering_melon_slice
1	noam464	2304
2	Hyp3rion_	2173
3	hanaryheatwave	880
4	pintsizedrogue	616
5	Lez_	512
6	Vorlice	409
7	500am	360
8	luseis	328
9	thewindmillman	281
10	slkiey	249
11	Inbefour	218
12	Buuck_	216
13	lizardfightclub	206
14	pixelviolin	156
14	Enderxz3	156
16	Blackberry1310	139
17	TheSecondLord	131
18	EMC_	123
19	cutelilreno	118
20	HellsSponge	105
21	kekhon	104
22	SingedBread	93
23	beeperbeeper5	87
24	m_be9	85
25	Di_infiri	81
26	Mr_Byzantine	78
27	Studio4x32	75
27	Fildyr	75
29	robonya_	72
30	DarlaMeow	65
30	sp00ky_ghost977	65
32	_witch_craft_	64
33	r123moore	63
34	surfinggiraffejp	62
35	ougstur	60
36	Snowflowe	56
37	SammiWolfGirl	53
38	SlayerCrypto	48
39	oscminus	44
39	claivin	44
41	Akoot_	40
42	Manaateee	39
43	Hiryu27	37
43	TechnoNinja64	37
45	diamondgolem35	36
45	Fullut	36
45	knarian	36
45	excelsionprime	36
45	PegLegPete93	36
45	Kakolbus	36
45	F_Uhre	36
45	wezzzi	36
45	ConnorDanky_	36
45	Spaghettatron	36
55	Prismyst	35
56	UncreativeArtist	34
57	abdomera	33
57	Tyrannosplart	33
57	Eraxa	33
60	Mahoose	32
61	Xclax101	25
62	_flud	24
62	stavgod	24
64	Fuhrer_Teemo	23
65	corpsecity	20
65	Yamdalorian	20
67	HeraclesOGU	18
68	QuiCreans	15
69	PaperCanvas	14
70	Arceus1975	13
71	PhantomsGhost_	12
71	lpinfinity	12
71	Lutres_	12
74	Saucepeh	10
74	tobinwilliams	10
74	AlphaWolfPlaysMC	10
74	Soplight	10
78	6king6colt6	9
78	Twighst	9
78	Winston_Ingram	9
81	Tolhart	8
81	T045RTY	8
81	jacxhadow	8
81	MAns_44	8
81	CacheOut	8
81	Skippeh	8
87	Quaintster	7
87	djancak	7
89	Kamflame	6
89	SuperPooch06	6
89	TheShyPig	6
89	Nicserso	6
93	Rumpletaezer	5
93	ItsAki_	5
95	SaucyDark	4
95	RebelAndroid	4
95	eitanzaki	4
95	Colmer94	4
99	MunkaKris	3
99	robertsnose	3
99	NameGenerat0r	3
99	Travka100	3
99	El_Jalapeno	3
99	MightyWertu	3
99	Kowcio_	3
99	Ezekson	3
99	PlasticOtari	3
108	lorywithay	2
108	MattieHD	2
108	zToasty69z	2
108	Hisiste	2
108	doublemaki	2
108	Kyrum2169	2
114	Jovaphobic	1
114	SlowMoNinja1994	1
114	livingdaydreams	1
114	nattybears	1
114	SOA1RR	1
114	FirsTimeGamingTV	1
114	IceYoung	1
114	shadowthemonkey	1
114	CollinMH06	1
114	starbits140	1
114	miramyu	1
