rank	username	minecraft:crafted/minecraft:yellow_dye
1	thewindmillman	148081
2	noam464	22793
3	oxfordschool	15133
4	joethahobo	6206
5	beeperbeeper5	6141
6	OtariCharlie	4135
7	Spacewardharpy7	3757
8	KingMatthew506	2753
9	Inbefour	2361
10	TheShyPig	1811
11	YungMaki	1070
12	EveryonesUncle	1035
13	lillips	964
14	MilleGrug	836
15	Smoke____	696
16	audiocracked	611
17	sebastiensaborio	609
18	WyngGoy	602
19	HellsSponge	522
20	HyperCave	512
21	Di_infiri	505
22	Snowflowe	459
23	Frozil12	361
24	KartivGal	336
25	MousePlays	320
26	Werbe	301
26	AssEatrAndLicker	301
28	Legendosh	300
29	Rasmanden	299
30	Kowcio_	298
31	jnp_gaming	283
32	Ezekson	277
33	Nicserso	272
34	Yatitay	264
35	Xclax101	261
36	Incinere	256
36	remmisrat	256
38	Nicky19	252
39	PeteO1995	213
40	500am	202
41	Mahoose	200
42	TheSecondLord	184
43	kekhon	180
44	TechnoNinja64	174
45	Blackberry1310	173
46	ExtraDumb	166
47	stellarjay	164
48	12Magner05	163
49	El_Jalapeno	160
50	Kakolbus	158
51	Rumpletaezer	157
52	DarlaMeow	156
53	NomadicRobin_	150
53	MovingFish7	150
55	xxPipperDipperxx	148
55	SuperPooch06	148
57	r123moore	139
58	sp00ky_ghost977	136
59	NameGenerat0r	135
60	Windo_licker	133
61	Onennon	129
61	Soplight	129
63	JEWISHBadenBeele	128
63	Notta	128
63	SSytex_X	128
66	Groovy_MoonBird	117
67	MattieHD	113
68	Merv__	112
69	m_be9	107
70	SellyZ	96
70	LordSpeed37	96
70	Njensen7	96
73	King_Pancake1	95
74	Natofthese	93
75	Skylord_Luke	92
76	_Dean_123	90
77	CoffeeNoir	84
78	ProfessorBee	82
79	Akoot_	81
80	starbits140	79
80	Sheldor097	79
82	Deathkob	78
82	Groundler	78
84	Kubeusz2010	73
85	pintsizedrogue	72
85	ROY4LE	72
87	Hoid_the_Roamer	68
87	claivin	68
89	masskedman	66
89	YoshikageBites	66
91	ProbablyNick	65
92	loveseeker	64
92	GlitchyPlate810	64
92	tartanboy	64
95	Bumpy419	63
96	FishisTTV	62
97	Typadopoulos	59
97	anbbang	59
97	Quotary	59
100	Kubelz	58
100	tobinwilliams	58
102	pappaberg	57
103	bigstankyy	53
104	Ze_BaronKrigler	50
105	thescout7	49
105	adiccting01	49
107	6king6colt6	48
107	Lord_Jord	48
109	Chuvacevedo	47
109	_TCARREIRA_	47
111	_naturell	45
112	Froste131	43
113	burbankbuilder28	42
113	Blaiku	42
115	fluddd	40
115	Nekomin0	40
115	PortlyPete69	40
118	Fullut	39
119	theonlymagikarp	38
119	MightyWertu	38
119	lordpipe	38
122	Karbl	36
123	_k2x	35
124	Tolhart	34
124	MakeHistory157	34
124	VentiHilton	34
124	Enderslayerxz3	34
128	himak1	33
128	_Bguette_	33
128	Blu3beast	33
128	Barlycorn	33
132	BobDeBouwer1337	32
132	Kim_Jong_eel	32
132	Skippeh	32
135	Tommhh	31
135	Parcc	31
137	BlancoFlaco	30
137	MAns_44	30
139	Awyrlas	29
140	TooManyDuck	28
140	rarrq	28
142	jspwn	27
142	Ecplosive	27
144	Zaridey	26
144	BlankityMcBlank	26
146	AlexStrange	25
147	CyrusIsTired	23
147	Arceus1975	23
147	Luigipunch989	23
150	Swexti	22
150	Hiryu27	22
150	lcvezra	22
150	AltnumberF4	22
154	Jackattack53	21
154	Fuhrer_Teemo	21
154	Dusk_95	21
157	hm947	20
157	SteveCraftBlocks	20
157	pixelviolin	20
160	Sky_light_KING	19
160	LetsDoItLive	19
162	Bandito_Roamer	18
162	whoaluv	18
162	Skomo	18
162	Nycteus_	18
166	AuroraValkyrie	17
166	SaucyDark	17
166	_Karmaa	17
169	xXTheWolfmanXx	16
169	TheFlfthHorseman	16
169	mimbo1211	16
169	Winklepicker279	16
169	Kynigito	16
169	RodSerlingCringe	16
169	Meatlaugh	16
169	FelixPSY375	16
177	Wooptey	15
177	mwrty	15
177	AJplaysMC_	15
180	jacxhadow	14
180	Voxin2K	14
180	BRRRN179	14
180	stavgod	14
180	Lowjinx	14
185	_Virify_	13
185	Cowison	13
185	Tjhodskins19	13
185	Maenara	13
185	Jiminie	13
190	PhantomsGhost_	12
190	Sleek_Storm_721	12
190	awesomeoneme	12
190	420BreadLizard	12
190	Kyrum2169	12
195	Natty	11
195	Jokerman369	11
195	seramalen	11
195	thgrocks	11
195	fffMike	11
195	blimpeey	11
201	IWorkAtIkea	10
201	Valoth	10
201	PegLegPete93	10
201	surfinggiraffejp	10
201	Stiar	10
201	Avrelion	10
201	MyNameIsJobo	10
201	epiksk8erduck	10
201	wezzzi	10
201	ogoa	10
201	ewpunk	10
201	JayToe	10
213	rats_life	9
213	Ardennes	9
213	redikul	9
213	Kamflame10	9
213	SUSUGAM	9
213	BlueZabu	9
213	CollinMH06	9
213	MyNameIsDakar	9
213	Freak_Genius	9
222	Scathra	8
222	Inchef	8
222	SeverianTheLame	8
222	_Boipl_	8
222	The11thDoctor	8
