rank	username	minecraft:crafted/minecraft:trapped_chest
1	Di_infiri	614
2	El_Jalapeno	356
3	catandmoose	192
4	noam464	64
4	Jackattack53	64
6	eiC_	44
7	MattieHD	32
8	Merv__	31
9	Spacewardharpy7	28
10	Kowcio_	26
11	beeperbeeper5	20
12	Niklas20114552	16
13	SellyZ	12
13	Maenara	12
15	HellsSponge	9
15	Groundler	9
17	FreakGenius	7
18	Mr_Byzantine	6
18	EveryonesUncle	6
18	doublemaki	6
21	xXTheWolfmanXx	4
21	livingdaydreams	4
21	TheSecondLord	4
21	Tmb1	4
21	Fuhrer_Teemo	4
26	Ssor69	3
26	12Magner05	3
26	pixelviolin	3
29	CLG_Kata	2
29	Zedducius	2
29	bloodbiter	2
29	500am	2
29	Awyrlas	2
29	Kakolbus	2
29	MyNameIsJobo	2
29	Zythose	2
29	wx4z	2
29	RobotMinion101	2
29	Inbefour	2
29	balin55	2
29	Tyrannosplart	2
29	BumbleBeever	2
29	Fildyr	2
29	IAmTheWalrus910	2
29	Eczbek	2
46	Gregward_Smith	1
46	kekhon	1
46	Smashic	1
46	ougstur	1
46	Wowful	1
46	That_tech_head	1
46	masskedman	1
46	ReflexCode	1
46	Hisiste	1
46	__tomato	1
46	EngagedGrub41	1
