rank	username	minecraft:crafted/minecraft:pufferfish_bucket
1	Smoke____	11
2	Mahoose	8
2	oxfordschool	8
4	PhantomsGhost_	4
4	bloodbiter	4
4	Fullut	4
4	Freak_Genius	4
4	Frozil12	4
4	stahouo	4
4	TechnoNinja64	4
11	Historical_Sand	3
11	Blackberry1310	3
13	pintsizedrogue	2
13	Dedalus36	2
15	nocturne78	1
15	_Boipl_	1
15	ooga47	1
