rank	username	minecraft:crafted/minecraft:leather_chestplate
1	Mattesco	682
2	beeperbeeper5	179
3	Lez_	130
4	MattieHD	128
5	500am	112
6	TheShyPig	102
7	pintsizedrogue	100
7	Yamdalorian	100
9	TheSecondLord	95
10	Kowcio_	66
11	teslawolf38	61
12	PlasticOtari	58
13	Manaateee	56
14	Legendosh	45
15	Soplight	44
16	kekhon	43
17	Mahoose	42
18	ConnorDanky_	35
19	Huwulling	34
20	Merv__	33
20	ECstardust	33
22	luseis	31
23	rarrq	28
23	fragrantmonke444	28
25	U_Mos_	21
25	masskedman	21
25	Xclax101	21
25	skitzxo	21
29	Smashic	20
30	RebelAndroid	19
30	skroobiez	19
30	EcksD	19
33	hanaryheatwave	18
34	Fullut	14
34	Hyp3rion_	14
34	mihimihimihi	14
34	KingMatthew506	14
38	m_be9	13
39	excelsionprime	12
39	pixelviolin	12
41	Mr_Byzantine	11
41	Boipl	11
41	oscminus	11
41	Werbe	11
45	SnowyAvi	10
45	jnp_gaming	10
47	Awyrlas	9
47	Akoot_	9
47	Moss_2006	9
47	Enderxz3	9
47	TechnoNinja64	9
52	titanlax	8
52	BobDeBouwer1337	8
52	claivin	8
52	Druid95	8
56	T045RTY	7
56	SteveCraftBlocks	7
56	mwrty	7
56	Maenara	7
60	_Virify_	6
60	TooManyDuck	6
60	Archsam	6
60	SvenskaHugo	6
60	djancak	6
60	Ezekson	6
66	himak1	5
66	Inchef	5
66	crashomon	5
66	Onennon	5
66	Lord_Jord	5
66	EveryonesUncle	5
66	Tyrannosplart	5
66	HellsSponge	5
66	El_Jalapeno	5
66	_i_ERROR_i_	5
66	Jimb0nat0r	5
77	I_Am_Mushkin	4
77	myaccountwasgone	4
77	ImpavidArcher	4
77	SaucyDark	4
77	Blackberry1310	4
77	jacxhadow	4
77	bloodbiter	4
77	CharlieButt	4
77	Kakolbus	4
77	AnnieBathory	4
77	ApophisNova	4
77	F_Uhre	4
77	EdGalbraith	4
77	fluddd	4
77	MakeHistory157	4
77	Kyrum2169	4
77	MyNamaSheff	4
94	PazinGaming	3
94	Sleek_Storm_721	3
94	Gregward_Smith	3
94	fr0stss	3
94	Nach0Bear	3
94	LeauVox4921	3
94	Karetoko	3
94	Winklepicker279	3
94	Hoid_the_Roamer	3
94	Vol_Rod33	3
94	Pumpkin_P_Patch	3
94	miramyu	3
94	00000000-0000-0000-0009-01ff0c3e5e4f	3
107	Frozil20	2
107	Hpdinosaur	2
107	MoistMicrowave	2
107	Jackster03	2
107	joethahobo	2
107	Swexti	2
107	Jakobo1337	2
107	MrExplorer	2
107	eclipseboi	2
107	_Dean_123	2
107	Cambo5000	2
107	eviltunix	2
107	xxPipperDipperxx	2
107	platinumzero	2
107	thatbeanyboi	2
107	MyNameIsJobo	2
107	Rumpletaezer	2
107	Snowflowe	2
107	RebytreGT	2
107	Cruncy_	2
107	Mr_Sun15	2
107	Samificator	2
107	ougstur	2
107	parodypatient	2
107	Joestra	2
107	MAns_44	2
107	MangoSalad316	2
107	Blu3beast	2
107	GravitySaint	2
107	lunkuku	2
107	LetsDoItLive	2
107	ItsDeltaMC	2
107	__tomato	2
107	xzvu	2
107	obzii	2
107	Kferno	2
107	annebolyn	2
144	kurulen	1
144	Groovy_MoonBird	1
144	CLG_Kata	1
144	Apollo_993	1
144	Napoleonpancake	1
144	lcn	1
144	freeandrew	1
144	FirsTimeGamingTV	1
144	royal_2	1
144	dopplexd	1
144	Saucepeh	1
144	Hydro___________	1
144	ashetrays	1
144	Megarboh	1
144	tortfeezy	1
144	falcon244	1
144	ROY4LE	1
144	__TheNorseMan__	1
144	Stiar	1
144	Touched_Bread	1
144	XboxPanda	1
144	Jackattack53	1
144	SuperPooch06	1
144	Skylord_Luke	1
144	SpaggeDR	1
144	Digger__Joe	1
144	Project_MKBRD	1
144	Celaydon	1
144	Kim_Jong_eel	1
144	St4nLe7	1
144	420BreadLizard	1
144	kkatsuragi	1
144	Jiminbub	1
144	Deathkob	1
144	AspenLightVT	1
144	_Karmaa	1
144	NameGenerat0r	1
144	ReflexCode	1
144	blackeemperor	1
144	SingedBread	1
144	Fildyr	1
144	Kura2218	1
144	TheKingK_	1
144	Gustavo64	1
144	NeoJordache	1
144	Njensen7	1
144	Steelynan	1
144	Kubeusz2010	1
144	FormulaNewt3627	1
144	Aryamanee	1
144	ALoafOfBreadn	1
144	coobert42	1
144	JayToe	1
144	TheWickedBird	1
