rank	username	minecraft:crafted/minecraft:purple_wool
1	QuiCreans	991
2	MakeHistory157	267
3	Yamdalorian	208
4	Froste131	150
5	emreknugrlu	128
6	TheShyPig	122
7	TheSecondLord	75
8	burbankbuilder28	66
9	Inchef	64
9	Werbe	64
9	NameGenerat0r	64
12	thewindmillman	63
13	EMC_	58
14	PortlyPete69	57
15	Krowuss	40
16	Kowcio_	38
17	Sral7	36
18	Merv__	32
18	EveryonesUncle	32
20	SteveCraftBlocks	23
21	Quotary	22
22	pintsizedrogue	20
23	Wooptey	19
24	Manaateee	18
25	royal_2	17
25	ROY4LE	17
27	Enderxz3	16
28	Hyp3rion_	15
28	_3Stump_	15
30	Caribouse	13
30	LilLizardWizard	13
32	Groovy_MoonBird	12
32	Lez_	12
32	corvidpartyfor6	12
32	lpinfinity	12
32	Soplight	12
37	PaperCanvas	11
38	Cryptacity	9
39	Sleek_Storm_721	6
39	RatatJuice	6
39	MattieHD	6
39	Touched_Bread	6
39	ApophisNova	6
39	ScootOfBoot	6
39	thatsjustfrankie	6
39	cutelilreno	6
39	SingedBread	6
39	miramyu	6
39	SammiWolfGirl	6
39	Luigipunch989	6
39	MyNamaSheff	6
39	UrbanPlanningEx	6
53	XxCookiequeenxX	5
54	kekhon	4
54	Scathra	4
54	AstreaTSS	4
54	doublemaki	4
54	ConnorDanky_	4
59	Alteriity	3
59	Mattesco	3
59	mehen_hokker	3
59	MinuteMira	3
63	bloodbiter	2
63	M_Patata	2
63	Galactic_Badger	2
63	lordpipe	2
63	MasterNueve	2
63	Ezekson	2
69	dabloons	1
69	_witch_craft_	1
69	imcombxt	1
69	Akoot_	1
69	Invintic	1
