rank	username	minecraft:crafted/minecraft:jungle_stairs
1	beeperbeeper5	1176
2	kinas45y5	1028
3	BronkerBrum	616
4	Lord_Jord	456
5	Steelynan	408
6	titanlax	372
7	cedric72	368
7	Factoroni	368
9	EveryonesUncle	344
10	Enderslayerxz3	324
11	PigDab	280
12	joethahobo	276
13	SaucyDark	264
14	Kukkelikuk	248
15	Winklepicker279	192
15	CookTheChef3	192
17	thewindmillman	176
18	Hyp3rion_	168
18	HellsSponge	168
20	Windo_licker	148
21	500am	136
22	Akoot_	132
22	SvenskaHugo	132
24	Ecplosive	128
25	Stiar	124
26	xxPipperDipperxx	120
26	Marbz_	120
28	Inbefour	116
29	El_Jalapeno	104
30	Onennon	96
30	tsitrawhy	96
32	Freak_Genius	88
33	ShedJr_	84
33	Soplight	84
35	Merv__	68
35	oxfordschool	68
35	Smoke____	68
38	eitanzaki	64
38	Lez_	64
38	Di_infiri	64
41	Blackberry1310	56
42	MyNameIsJobo	52
43	Groovy_MoonBird	48
43	Inchef	48
43	Deathkob	48
46	nocturne78	44
46	Racengan	44
48	Mahoose	40
48	The_slideV3	40
48	07shiny	40
51	jnp_gaming	36
52	CryoInferno_	32
52	CoffeeNoir	32
52	thescout7	32
52	Jiminie	32
52	LexMakesHistory	32
57	himak1	28
57	Toiton	28
57	KASAN420	28
60	soundad	24
60	rarrq	24
60	TheShyPig	24
60	PlasticOtari	24
64	Bandito_Roamer	20
64	chrolus	20
64	the_fireminer	20
64	Swexti	20
64	kekhon	20
64	Bazongoman	20
64	OfficerAnvil	20
71	bloodbiter	16
71	WET_WET_WET	16
71	ooga47	16
71	yulgur1	16
71	MovingFish7	16
71	MineMaster0012	16
71	SammiWolfGirl	16
78	Prodiginus	12
78	PegLegPete93	12
78	Toriankel	12
78	coobert42	12
82	PhantomsGhost_	8
82	TheSecondLord	8
82	Kamflame10	8
82	Covalents	8
82	SvenskaAlvar	8
82	FlashMigma	8
82	Groundler	8
82	Eraxa	8
82	TechnoNinja64	8
91	pintsizedrogue	4
91	jessemgaming	4
91	Incinere	4
91	T045RTY	4
91	Ssor69	4
91	Fullut	4
91	LotusProject	4
91	RobotMinion101	4
91	Maenara	4
91	Aangezet	4
91	natajimi	4
91	lillips	4
91	Quaintster	4
91	Kowcio_	4
91	Kferno	4
91	RadarHz	4
