rank	username	minecraft:crafted/minecraft:cut_copper_stairs
1	EMC_	198
2	hanaryheatwave	152
2	SpacesickPrism	152
4	Mattesco	128
5	thewindmillman	85
6	Lez_	68
7	joethahobo	64
8	j5ylim	40
8	Enigma0251	40
10	Lord_Jord	36
11	JETrotter	32
12	Soplight	28
13	Lutres_	24
13	AdmiralSmoke	24
15	_Huge_Male_	14
16	SuperPooch06	13
17	jessewegottacook	12
17	Touched_Bread	12
17	Nicserso	12
20	12Magner05	9
20	luseis	9
22	Mr_Byzantine	8
22	Mahoose	8
24	Kubelz	4
24	Jonafrog99	4
24	PaperCanvas	4
24	GooseWithin	4
24	MineMaster0012	4
29	PlasticOtari	3
