rank	username	minecraft:crafted/minecraft:green_glazed_terracotta
1	QuiCreans	1288
2	Spacewardharpy7	430
3	ImpavidArcher	276
4	ROY4LE	192
5	AdmiralSmoke	189
6	titanlax	160
7	lordpipe	128
8	StinkyDiplomat	120
9	pintsizedrogue	94
10	luseis	84
11	Prismyst	64
11	500am	64
11	UncleDanDan	64
11	Blaiku	64
15	TheShyPig	54
16	Lez_	36
16	joethahobo	36
16	Kowcio_	36
16	calamariclam_I	36
20	yatsuta	28
21	Quotary	24
22	Kim_Jong_eel	20
23	Huwulling	18
24	Inbefour	16
25	EMC_	12
25	eitanzaki	12
25	beeperbeeper5	12
25	Smashic	12
25	himak1	12
25	Hermanni__	12
31	CarltheCuck	11
32	Legendosh	8
33	Di_infiri	6
34	YungMaki	4
35	Comma__	3
35	pixelviolin	3
37	AlexxO_o	2
37	EngagedGrub41	2
39	Bandito_Roamer	1
39	ItsDeltaMC	1
