rank	username	minecraft:crafted/minecraft:bamboo_trapdoor
1	_witch_craft_	982
2	LuvLuvLove	618
3	Buuck_	490
4	k_ce	136
5	Mattesco	124
6	Cache3	116
7	Mr_Sun15	66
8	milltesco	56
9	Mr_Byzantine	38
9	Merv__	38
11	Hoid_the_Roamer	36
11	TheKingK_	36
11	Steelynan	36
14	cuddlyMonster	35
15	TheSecondLord	34
16	luseis	24
17	Jimb0nat0r	20
18	Synthoum	16
19	MattieHD	10
19	robonya_	10
21	Bambuino	6
21	Yamdalorian	6
23	pintsizedrogue	4
23	j5ylim	4
23	bl1ss0	4
23	EveryonesUncle	4
23	Enderxz3	4
28	U_Mos_	2
28	Penguinllama517	2
28	pixelviolin	2
28	Pumpkin_P_Patch	2
28	Legendosh	2
