rank	username	minecraft:crafted/minecraft:raw_iron
1	pintsizedrogue	10661
2	Ezekson	7631
3	TheBananaKat	5550
4	Mattesco	2272
5	thewindmillman	2170
6	Myszoaz	1827
7	12Magner05	1368
8	SingedBread	1305
9	corvidpartyfor6	1143
10	Flores991	1062
11	_i_ERROR_i_	1026
12	yulgur1	981
13	calamariclam_I	934
14	Rocco_Lane	900
15	SlayerCrypto	729
16	Pofen	720
17	TAKrules	665
18	SvenskaHugo	657
19	ApophisNova	654
19	MyNamaSheff	654
21	Iamthejo	651
22	hanaryheatwave	612
23	500am	594
24	beeperbeeper5	585
25	TheSecondLord	576
25	starbits140	576
27	fffMike	558
28	Lutres_	486
29	CLG_Kata	477
29	PlasticOtari	477
31	QuiCreans	441
32	pixelviolin	405
33	prizm_	396
34	smogfrog	315
35	Huwulling	288
36	fw3xy74	207
37	underscore_2	189
38	Nicserso	162
39	Da_Boss_Rani	144
40	NATE_the_HALO	135
41	ConJaBz	126
42	brofrickcheaters	108
43	Solar_Power	90
43	Rebytre	90
43	00000000-0000-0000-0009-01ff0c3e5e4f	90
46	diamondgolem35	72
46	Sleepy_Time_	72
46	Avocadogerms	72
46	SpacesickPrism	72
50	groofles	63
50	sp00ky_ghost977	63
52	Ssor69	54
52	Kubelz	54
52	kalzor	54
55	chrolus	45
55	ZaneABrain	45
55	Dan_Scha	45
55	Fuad_R	45
59	k_ce	36
59	KGTV	36
59	LeauVox4921	36
62	MuffinManzz	27
62	ChampPog_	27
62	JitteryJared2	27
62	Silvo614	27
62	weabis	27
62	YungMaki	27
62	00000000-0000-0000-0009-01f53dff86f7	27
69	shineh10	18
69	lorywithay	18
69	HoltGrim	18
69	The_Fulgurator	18
69	dartwaffle	18
69	PaperCanvas	18
69	GooseWithin	18
69	StinkyDiplomat	18
69	Segotep999	18
69	Heisenbberrg	18
79	H0UNDFRMH3LL	9
79	ECstardust	9
79	Creativebuilder2	9
79	MogusBussy69	9
79	Ryker	9
79	Crowman1	9
79	_Nat666	9
79	TerraVl	9
79	fade_emerge78823	9
79	thatbeanyboi	9
79	Arceus1975	9
79	CowOfTheNile	9
79	Samificator	9
79	Lord_Zacler	9
79	Manaateee	9
79	Methalox1	9
79	iSammael	9
79	FadedSpade82	9
79	ZoomieZoomie	9
79	Aryamanee	9
79	coobert42	9
79	00000000-0000-0000-0009-01f9013b764e	9
101	RatatJuice	5
