rank	username	minecraft:crafted/minecraft:red_sandstone_wall
1	weabis	66
2	ImpavidArcher	25
3	Alteriity	20
4	EMC_	6
4	RatatJuice	6
6	beeperbeeper5	5
7	Kowcio_	1
