rank	username	minecraft:crafted/minecraft:activator_rail
1	Hyp3rion_	11721
2	noam464	2832
3	gcaisawesome	1764
4	Lez_	1614
5	Spacewardharpy7	852
6	Di_infiri	528
7	Werbe	504
8	Jackattack53	390
9	Quincannon	384
9	ConnorDanky_	384
11	PigDab	348
12	vandmanden	342
13	pintsizedrogue	324
14	El_Jalapeno	288
15	Kowcio_	174
16	kekhon	126
17	TheShyPig	114
18	jnp_gaming	108
19	ProfessorBee	102
19	mihimihimihi	102
21	eitanzaki	94
22	AuroraValkyrie	90
22	Yamdalorian	90
24	Historical_Sand	84
24	beeperbeeper5	84
24	thewindmillman	84
24	pixelviolin	84
28	Alteriity	66
28	GooseWithin	66
28	EngagedGrub41	66
31	Groundler	60
32	NotMeanttoChange	54
32	oscminus	54
34	4774	42
34	MAns_44	42
34	BumbleBeever	42
37	HellsSponge	36
38	Blaiku	30
38	The_SlideV5	30
40	_Virify_	24
40	RoskobiOne	24
40	ImpavidArcher	24
40	Julmish	24
40	non089	24
40	Nicserso	24
46	MSK__	18
46	12Magner05	18
46	Awyrlas	18
46	Rumpletaezer	18
46	Bumpy419	18
46	IamCL4SSY	18
46	JESS_THE_RERE	18
46	Fuad_R	18
46	YungMaki	18
55	500am	12
55	MinuteMira	12
55	AstreaTSS	12
55	EcksD	12
59	Jovaphobic	6
59	j5ylim	6
59	Apollo_993	6
59	soundad	6
59	EMC_	6
59	Mahoose	6
59	ShedJr_	6
59	FirsTimeGamingTV	6
59	Comma__	6
59	MinttyFressh	6
59	Scathra	6
59	eviltunix	6
59	SharpDev	6
59	Moofyman	6
59	ClemenPine	6
59	Lord_Jord	6
59	AuroraSkies	6
59	TheSeismicDuck	6
59	Inbefour	6
59	Manaateee	6
59	The_slideV3	6
59	claivin	6
59	censorsheep	6
59	MightyWertu	6
59	Hisiste	6
59	WyngGoy	6
59	stavgod	6
59	Soplight	6
59	Spenduh	6
59	mawileite	6
59	TheSandwhich_	6
59	TechnoNinja64	6
59	FishisTTV	6
92	MoistMicrowave	3
