rank	username	minecraft:crafted/minecraft:gray_dye
1	thewindmillman	97020
2	noam464	16292
3	oxfordschool	7116
4	joethahobo	4892
5	lordpipe	2796
6	YungMaki	2726
7	Spacewardharpy7	1866
8	xxPipperDipperxx	1778
9	Di_infiri	1626
10	DarlaMeow	1594
11	TheSecondLord	1532
12	Rumpletaezer	1512
13	OtariCharlie	1498
14	Inchef	1474
15	thescout7	1372
16	Inbefour	1154
17	Mahoose	906
18	eitanzaki	898
19	EcksD	884
20	Quotary	864
21	Snowflowe	838
22	beeperbeeper5	828
23	Hiryu27	694
24	Blackberry1310	640
24	cog	640
26	Ezekson	608
27	r123moore	580
28	Deathkob	530
29	Freak_Genius	526
29	Enderslayerxz3	526
31	Sral7	500
32	kekhon	492
33	ImpavidArcher	452
34	Incinere	448
35	Hyp3rion_	402
36	Chromary	384
37	rarrq	382
38	TheShyPig	352
39	MattieHD	348
40	Smoke____	336
41	Truckoss	314
42	ApophisNova	310
42	MyNamaSheff	310
44	lcvezra	272
45	500am	254
46	Werbe	252
46	AssEatrAndLicker	252
48	_Karmaa	250
49	Merv__	236
50	Swexti	228
51	BumbleBeever	220
52	Frozil12	218
53	CalebDHawk	204
54	RobotMinion101	194
55	Dan_Scha	186
56	NameGenerat0r	182
57	Eraxa	176
58	pintsizedrogue	149
59	Onennon	146
59	claivin	146
61	Marbz_	144
62	Diavri	134
63	I_Am_Mushkin	128
63	bigstankyy	128
63	NinjaKnifeKill	128
63	Syropatathe	128
63	lillips	128
68	M_Patata	122
68	MasterNueve	122
70	MightyWertu	114
71	NomadicRobin_	110
72	TheBiggestFeller	96
72	Legendosh	96
74	Arceus1975	92
74	sp00ky_ghost977	92
76	Blaiku	88
76	Kowcio_	88
78	JayToe	86
79	ogoa	82
80	EveryonesUncle	78
81	bloodbiter	76
81	Sky_light_KING	76
81	HellsSponge	76
84	Hoid_the_Roamer	74
85	Rich_Kat	64
85	audiocracked	64
85	MakeHistory157	64
85	Kyrum2169	64
89	ewsophie	62
90	Jackattack53	60
91	PortlyPete69	58
92	Cryptacity	56
93	LordSpeed37	54
94	jacxhadow	52
95	Zaridey	50
95	Hermanni__	50
97	Comma__	48
98	mwrty	46
98	EcksDofficial	46
100	Awyrlas	44
101	XxCookiequeenxX	42
101	Xclax101	42
103	ratglock	38
104	theonlymagikarp	36
105	__tomato	34
106	Stynxy	32
106	AJplaysMC_	32
106	BlankityMcBlank	32
109	teslawolf38	30
110	Tommhh	28
110	himak1	28
110	EfficientC52	28
113	Historical_Sand	26
113	_Dean_123	26
113	SammiWolfGirl	26
116	Kakolbus	24
116	Ecplosive	24
118	Frozt99	22
118	oreee	22
118	Lord_Jord	22
118	Wowful	22
122	MilleGrug	20
123	jushykins	18
123	ROY4LE	18
123	Soplight	18
123	Winston_Ingram	18
123	Skippeh	18
128	H72l9w	14
128	Fullut	14
130	Bandito_Roamer	12
130	dopplexd	12
130	El_Jalapeno	12
130	CheifJumbo	12
134	Drlzyy	10
134	Reamdin	10
134	MyNameIsJobo	10
134	The11thDoctor	10
134	MonitorLizards	10
134	Dusk_95	10
134	SSytex_X	10
134	stellarjay	10
142	gcaisawesome	8
142	Zythose	8
142	sebastiensaborio	8
142	fffMike	8
146	Jalvajar	6
146	titanlax	6
146	MrExplorer	6
146	Scathra	6
146	Avrelion	6
146	SuperPooch06	6
146	Bumpy419	6
146	Darkgon	6
146	marumochis	6
146	Razzgriz	6
146	Njensen7	6
146	KingMatthew506	6
158	ooga47	5
159	Sleek_Storm_721	4
159	Notta	4
159	12Magner05	4
159	ProfessorBee	4
159	CollinMH06	4
159	yaboo88	4
159	Akoot_	4
159	TheSeismicDuck	4
159	Karbl	4
159	fluddd	4
159	Groundler	4
159	Barlycorn	4
159	Ze_BaronKrigler	4
159	pixelviolin	4
159	Dogcorn69420	4
159	Sheldor097	4
159	FelixPSY375	4
159	TechnoNinja64	4
177	jnp_gaming	3
178	Jorrdi	2
178	hollowww	2
178	AuroraValkyrie	2
178	ExtraDumb	2
178	ssleepless	2
178	TooManyDuck	2
178	RebelAndroid	2
178	Spaghettatron	2
178	Jahara	2
178	ZaneABrain	2
178	KomputerDude	2
178	IWorkAtIkea	2
178	Ssor69	2
178	Euclidoris	2
178	CliffEmAll	2
178	surfinggiraffejp	2
178	Xalithia	2
178	whoaluv	2
178	King_Pancake1	2
178	pappaberg	2
178	Donutt	2
178	cedric72	2
178	Maenara	2
178	masskedman	2
178	_Bguette_	2
178	chipklip	2
178	SingedBread	2
178	Cocoamallows	2
178	stavgod	2
178	SvenskaHugo	2
178	djancak	2
178	starbits140	2
178	anbbang	2
178	Nicserso	2
178	HesDemonPants	2
178	Powowowow	2
178	vandmanden	2
