rank	username	minecraft:crafted/minecraft:coarse_dirt
1	thewindmillman	8696
2	ApophisNova	6128
2	MyNamaSheff	6128
4	noam464	3584
5	Legendosh	2924
6	Jiminie	2832
7	EveryonesUncle	1596
8	Smoke____	1488
9	TheShyPig	1288
10	500am	1256
11	SpacesickPrism	1196
12	Merv__	1116
13	Enderslayerxz3	1060
14	Spacewardharpy7	1024
14	EcksD	1024
16	Cowison	784
17	m_be9	772
18	EMC_	768
19	pintsizedrogue	624
20	The_slideV3	604
21	burbankbuilder28	556
22	Inchef	552
23	Onennon	536
24	UCP_TheKingK	528
25	Marbz_	512
25	Akoot_	512
25	__tomato	512
28	Kowcio_	488
29	Chromary	420
30	r123moore	408
31	Mr_Byzantine	392
32	Rebytre	384
32	AlexxO_o	384
32	lordpipe	384
35	PlasticOtari	376
36	Louiis123	352
37	rarrq	336
38	Steven1282598	316
39	bigstankyy	288
39	Cryptacity	288
41	Historical_Sand	276
42	Hermanni__	264
43	Soap_Bender	256
44	TheOnlyRake	220
45	obzii	216
46	kekhon	192
46	Fullut	192
48	Eraxa	188
49	Malorn_Aetherius	168
49	Skippeh	168
51	prizm_	160
52	Blackberry1310	144
53	claivin	136
54	Dr0xzy	132
55	Bandito_Roamer	128
55	KarlKaek	128
55	joethahobo	128
55	Notta	128
55	_Dean_123	128
55	Maenara	128
55	GoofyBread	128
55	mihimihimihi	128
55	fffMike	128
64	PortlyPete69	124
65	Ravenbie	120
66	RyuNeko932000	116
67	ImpavidArcher	92
68	diggydog67	84
69	TableTim	80
69	Freak_Genius	80
69	jnp_gaming	80
72	_Bguette_	76
73	TheMaster972	72
73	PegLegPete93	72
75	MyNameIsDakar	68
76	Alteriity	64
76	Huwulling	64
76	Snowflowe	64
79	CoffeeNoir	60
79	El_Jalapeno	60
81	__Fanda__	56
82	TheSecondLord	52
83	ExtraDumb	44
84	seramalen	40
84	UrbanPlanner1978	40
86	DizzleJay311	32
87	Hpdinosaur	28
88	Cavetorch	20
88	Groundler	20
88	SammiWolfGirl	20
91	Arceus1975	16
91	_Boipl_	16
93	_Huge_Male_	12
93	Smashic	12
93	ogoa	12
93	JollyDroopy52	12
93	Deathkob	12
93	Steelynan	12
99	youhjjhhhjj	8
99	bloodbiter	8
99	Nyxiom_	8
99	Kubeusz2010	8
103	Menthas	4
103	Sleek_Storm_721	4
103	beeperbeeper5	4
103	Scathra	4
103	Kubelz	4
103	regulator75	4
103	JonahTheMans	4
103	Kynigito	4
103	Shogunite	4
103	Blaiku	4
103	LetsDoItLive	4
103	Sheldor097	4
103	Quotary	4
116	cichy096	1
