rank	username	minecraft:crafted/minecraft:cyan_bed
1	4774	170
2	mariominejedi	70
3	ItsColin11	59
4	Merv__	49
5	skitzxo	47
6	eitanzaki	37
7	teslawolf38	34
7	RadarHz	34
9	TheShyPig	32
10	_Virify_	30
11	DarlaMeow	19
12	fw3xy74	18
13	joethahobo	16
14	Manaateee	13
15	pintsizedrogue	10
15	luseis	10
17	beeperbeeper5	9
17	m_be9	9
19	Jackattack53	8
19	NameGenerat0r	8
19	Legendosh	8
22	Krowuss	5
23	shineh10	4
23	SvenskaHugo	4
23	Steelynan	4
26	Comma__	3
26	Lord_Jord	3
26	Ezekson	3
29	TheSecondLord	2
29	500am	2
29	Fullut	2
29	r123moore	2
29	jacobsoy	2
29	fluddd	2
29	Kowcio_	2
29	Pumpkin_P_Patch	2
29	Soplight	2
29	TheWickedBird	2
39	Mr_Byzantine	1
39	Apollo_993	1
39	fanofbands101	1
39	Cowison	1
39	SaucyDark	1
39	eclipseboi	1
39	Scathra	1
39	Xalithia	1
39	xxPipperDipperxx	1
39	gcaisawesome	1
39	Karetoko	1
39	Tandy117	1
39	ApophisNova	1
39	Lutres_	1
39	El_Jalapeno	1
39	lunkuku	1
39	iSammael	1
39	stellarjay	1
39	Nekomin0	1
39	KingMatthew506	1
39	ConnorDanky_	1
39	CattSoup	1
39	MyNamaSheff	1
39	Yamdalorian	1
