rank	username	minecraft:crafted/minecraft:lime_bed
1	Smoke____	180
2	T045RTY	81
3	SvenskaHugo	64
4	500am	58
5	eitanzaki	39
6	HellsSponge	29
7	beeperbeeper5	22
8	Chromary	21
8	Blu3beast	21
8	TheEnderman548	21
8	Soplight	21
8	oxfordschool	21
13	Sheldor097	20
14	kekhon	12
14	The_slideV3	12
16	bigstankyy	9
17	Blackberry1310	7
18	Werbe	5
18	Maenara	5
18	jnp_gaming	5
21	AssEatrAndLicker	4
21	pixelviolin	4
23	Kamflame10	3
24	joethahobo	2
24	heckface	2
24	XboxPanda	2
24	El_Jalapeno	2
24	YungMaki	2
24	LeeMcGee30	2
30	fanofbands101	1
30	I_Am_Mushkin	1
30	CryoInferno_	1
30	SaucyDark	1
30	HollieDaNugget	1
30	ccormacs	1
30	TheRealGameBoy24	1
30	Fullut	1
30	UncreativeArtist	1
30	Scathra	1
30	gabriels543	1
30	MyNameIsJobo	1
30	420BreadLizard	1
30	Inbefour	1
30	LexMakesHistory	1
30	Freak_Genius	1
30	censorsheep	1
30	GravitySaint	1
30	Groundler	1
30	lordpipe	1
30	CSG_Haru	1
30	Lowjinx	1
30	Enderslayerxz3	1
