rank	username	minecraft:crafted/minecraft:brown_banner
1	Lez_	221
2	ConnorDanky_	153
3	TheShyPig	83
4	noam464	40
5	luseis	35
6	pintsizedrogue	33
7	Hermanni__	25
8	beeperbeeper5	24
9	kekhon	19
10	Smashic	14
11	Jimb0nat0r	12
12	500am	11
13	Mr_Byzantine	9
13	Blaiku	9
15	RebelAndroid	8
16	12Magner05	7
16	ZoomieZoomie	7
18	MattieHD	6
19	Werbe	5
20	Huwulling	4
21	Cryptacity	3
21	Sral7	3
23	Chromary	2
23	KeruNatsema	2
23	Druid95	2
23	pixelviolin	2
23	Kowcio_	2
23	momis24	2
29	Ryan_GEMS	1
29	MoistMicrowave	1
29	Mahoose	1
29	jessewegottacook	1
29	rarrq	1
29	bloodbiter	1
29	_Dean_123	1
29	Fullut	1
29	Onennon	1
29	HellsSponge	1
29	JayToe	1
