rank	username	minecraft:crafted/minecraft:polished_blackstone
1	Mattesco	49510
2	Hyp3rion_	47320
3	12Magner05	29088
4	beeperbeeper5	22594
5	gcaisawesome	21188
6	noam464	21168
7	PigDab	20824
8	AdmiralSmoke	14200
9	luseis	13980
10	Lez_	13368
11	Zythose	12308
12	k_ce	12214
13	Winklepicker279	11504
14	Jackattack53	10922
15	Huwulling	9364
16	Spacewardharpy7	6896
17	mwrty	6632
18	ECstardust	6304
19	PazinGaming	5336
20	Fullut	5268
21	Manaateee	5060
22	burbankbuilder28	4876
23	FreakGenius	4753
24	pintsizedrogue	4737
25	Lutres_	4696
26	TheSecondLord	4552
27	Di_infiri	4476
28	Cowison	4356
29	lizardfightclub	4190
30	rarrq	4156
31	ApophisNova	3788
31	MyNamaSheff	3788
33	Jimb0nat0r	3490
34	Kowcio_	3483
35	Snowflowe	3248
36	teslawolf38	3184
37	joethahobo	3012
38	ZoomieZoomie	2980
39	MAns_44	2896
40	Shogunite	2756
41	lillips	2560
42	Werbe	2460
43	SkateboardR6	2346
44	mihimihimihi	2168
45	Lord_Jord	2124
46	chipklip	2096
47	Billious	2000
48	weabis	1874
49	SmashingPump	1836
50	Awyrlas	1744
50	XboxPanda	1744
50	FishyBoy3811	1744
53	KeruNatsema	1712
54	lorpus	1672
55	eitanzaki	1652
56	set67	1644
57	ITDV	1580
58	_Boipl_	1576
58	Nycteus_	1576
60	thewindmillman	1561
61	NameGenerat0r	1512
62	hanaryheatwave	1472
63	diamondgolem35	1468
64	Alteriity	1461
65	catandmoose	1384
66	00000000-0000-0000-0009-01ff0c3e5e4f	1312
67	iSammael	1284
68	SkinnyBois	1280
69	Druid95	1252
70	SpacesickPrism	1112
71	EcksD	1104
72	Rebytre	1031
73	Racengan	1024
74	CliffEmAll	1020
75	Apollo_993	1012
76	Fuad_R	992
77	King_Pancake1	960
78	IvarEXE	872
79	Spenduh	860
80	pixelviolin	848
81	Eraxa	836
82	Biites	832
83	Legendosh	773
84	drunkeeez	704
85	jessewegottacook	632
86	TheWildMateo	604
86	fw3xy74	604
86	gustarlep	604
89	Nicserso	540
90	PortlyPete69	500
91	HolyVenom	484
92	zToasty69z	452
93	Mahoose	448
94	Optiprimus	424
95	Winston_Ingram	416
96	YungMaki	409
97	Ze_BaronKrigler	386
98	Trixididntdie	384
99	CattSoup	376
100	EveryonesUncle	372
101	PlasticOtari	367
102	BobDeBouwer1337	352
103	ReverendSmith	344
103	ConnorDanky_	344
105	Kubeusz2010	308
106	DracZSenpai	300
107	r123moore	292
108	Smashic	280
109	TheShyPig	276
110	little_dUki	268
111	Solar_Power	260
112	_Karmaa	256
113	4774	252
114	Soplight	249
115	Klerick	224
116	djancak	220
117	NieToksikpl	216
118	xxPipperDipperxx	210
119	sp00ky_ghost977	202
120	Yatitay	192
120	ROY4LE	192
120	Elastiq	192
120	07shiny	192
124	Crowman1	168
125	Cellcorgi649	144
126	CLG_Kata	132
127	HyperCave	128
127	Decaying_Lotus	128
129	HAIRYCLOUD626	124
130	ImpavidArcher	108
131	fffMike	96
131	jnp_gaming	96
133	Steelynan	88
134	Mr_Byzantine	87
135	whoaluv	80
136	HellsSponge	76
137	NatalieTW	72
137	bloodbiter	72
137	TheTommyGun63	72
140	mimbo1211	68
140	xolstoi	68
142	Ryan_GEMS	64
142	RebelAndroid	64
142	Myrlewen	64
142	Myszoaz	64
142	SnowyAvi	64
142	MinttyFressh	64
142	_Dean_123	64
142	Marbz_	64
142	AlexxO_o	64
142	Kokeech	64
142	PaperCanvas	64
142	masskedman	64
142	wwwwinnebagoooo	64
142	AltnumberF4	64
156	benediktine1	60
157	m_be9	40
157	GravitySaint	40
159	Minimize501	36
160	Merv__	32
160	TheImperial	32
160	Luigipunch989	32
163	Blackberry1310	29
164	kekhon	28
164	LeEricc	28
166	ooga47	24
167	KarlKaek	20
167	breadbowlgamer	20
167	Chromary	20
170	RoskobiOne	16
170	ogoa	16
172	NinjaKnifeKill	12
173	AuroraValkyrie	8
173	CarltheCuck	8
173	thebaddruid	8
173	kirametal	8
173	lordpipe	8
173	Razzgriz	8
173	_Mythic____	8
173	Eczbek	8
173	mobunni	8
173	Enderxz3	8
183	_Razaria	7
184	bearlystraight	5
185	_Huge_Male_	4
185	ExtraDumb	4
185	Hpdinosaur	4
185	ShedJr_	4
185	Chickenchaser2	4
185	MrExplorer	4
185	himak1	4
185	pumpfonzo	4
185	Kakolbus	4
185	The_Fulgurator	4
185	Moofyman	4
185	Deathkob	4
185	fluddd	4
185	Njensen7	4
199	hm947	2
199	500am	2
201	Jonafrog99	1
201	corpsecity	1
201	Hermanni__	1
201	MissCeleste7	1
