rank	username	minecraft:crafted/minecraft:oak_trapdoor
1	_Virify_	8006
2	Spacewardharpy7	6026
3	Dogcorn69420	5640
4	HellsSponge	4646
5	joethahobo	4372
6	noam464	4218
7	Mahoose	4202
8	Alteriity	4082
9	YungMaki	2802
10	AlexxO_o	2384
11	ProfessorBee	2276
12	thewindmillman	2252
13	vandmanden	2198
14	Lord_Jord	1982
15	PlzNoBM	1864
16	Frozil20	1688
17	gcaisawesome	1626
18	beeperbeeper5	1596
19	AlphaWolfPlaysMC	1534
20	Ezekson	1374
21	gusstationwerker	1366
22	ShedJr_	1314
23	Smoke____	1242
24	EveryonesUncle	1232
25	Werbe	1124
26	Legendosh	1016
27	sxc_	970
28	NomadicRobin_	944
29	BumbleBeever	918
30	Cocoamallows	840
31	Mr_Byzantine	788
32	2Stout	680
33	pintsizedrogue	664
34	mariominejedi	638
35	PlasticOtari	624
36	Racengan	612
37	Di_infiri	610
38	WyngGoy	568
39	Mewar	548
40	CattSoup	544
41	Marbz_	528
42	eitanzaki	524
42	MinttyFressh	524
44	Lez_	520
45	livingdaydreams	518
46	500am	494
47	Merv__	484
48	Inbefour	480
49	m_be9	456
50	XboxPanda	450
51	Kakolbus	446
52	Kyrum2169	444
53	tsitrawhy	434
54	EMC_	428
55	FreakGenius	420
56	Enderxz3	412
57	thescout7	410
58	PortlyPete69	406
59	epiksk8erduck	388
60	Jackattack53	378
61	set67	374
62	TheShyPig	356
63	MustaLoordi	352
64	_8man	342
65	fr0stss	336
66	mwrty	328
67	DanTheBuilderino	316
68	luseis	314
69	Kferno	286
70	MustardSquid	284
71	_Karmaa	273
72	AuroraValkyrie	272
73	CoffeeNoir	270
74	gabriels543	256
74	Kowcio_	256
76	Secret_Canary	242
77	_Dean_123	230
78	TheSecondLord	226
79	Hyp3rion_	224
79	FishyBoy3811	224
81	TheSeismicDuck	222
82	Blackberry1310	218
83	Sral7	214
84	EcksD	212
85	Onennon	208
86	kyouma777	200
87	TheTrueClipse	198
88	Smashic	196
89	mihimihimihi	184
90	__tomato	178
90	SpacesickPrism	178
92	Skylord_Luke	176
93	dimondking777	172
93	Deathkob	172
95	F_Uhre	170
95	fffMike	170
97	burbankbuilder28	166
97	OffWithTheirHead	166
97	ConnorDanky_	166
100	Groovy_MoonBird	162
101	stellarjay	148
102	RoofTyler	140
103	PazinGaming	134
104	SkateboardR6	130
104	pixelviolin	130
104	Eczbek	130
107	Sharkbyte0	128
108	Cowison	124
108	07shiny	124
110	ewsophie	122
110	masskedman	122
112	PhantomsGhost_	118
113	MousePlays	116
114	Megarboh	114
114	Elastiq	114
116	mawileite	110
117	wiqor	108
118	Covalents	104
118	CharlieButt	104
120	SingedBread	102
121	Reamdin	96
121	rarrq	96
121	iSammael	96
124	Swexti	94
124	Fildyr	94
126	SmashingPump	92
126	Myszoaz	92
128	Ssor69	90
128	Soplight	90
130	fw3xywashere	88
130	yulgur1	88
130	AltnumberF4	88
133	FazeObama69	86
134	SpaceGrenadier	84
134	Da_Boss_Rani	84
134	andy_rex	84
134	aec9	84
134	MovingFish7	84
134	DittoProbably	84
134	Steelynan	84
141	Rumpletaezer	82
142	RatatJuice	80
142	Nicky_H225	80
142	Truckoss	80
142	Shogunite	80
146	ImpavidArcher	78
146	Weepingbiel	78
148	ssleepless	76
148	UncreativeArtist	76
148	Warlord324	76
151	KarlKaek	74
151	Winklepicker279	74
153	soundad	72
153	Inchef	72
153	The_slideV3	72
156	Creativebuilder2	68
156	Ozixar	68
156	StinkyDiplomat	68
156	jaimshae	68
160	Fullut	66
161	Esme_1	64
161	UrbanPlanningEx	64
163	Jonafrog99	62
163	PigDab	62
163	Leyna3	62
163	anbbang	62
167	xxPipperDipperxx	61
168	BPTY4618	60
168	ReSynced	60
168	Eraxa	60
168	RealGroot	60
172	Rebytre	58
172	Fuad_R	58
172	lcvezra	58
172	non089	58
172	Nicserso	58
177	EngagedGrub41	57
178	r123moore	56
179	q_wq	54
179	wickedword	54
179	wobn	54
179	stavgod	54
183	_Nuf	52
183	CalebDHawk	52
183	smogfrog	52
186	Nycteus_	50
186	UCP_TheKingK	50
188	JitteryJared2	48
188	ougstur	48
188	wezzzi	48
188	Darkgon	48
188	Soap_Bender	48
188	Strangemonkey71	48
194	olliebollie48	46
194	El_Jalapeno	46
196	himak1	44
196	Mr_Sun15	44
196	Fuhrer_Teemo	44
196	jnp_gaming	44
200	Tombo2004	42
200	whoaluv	42
200	Akoot_	42
200	Skippeh	42
204	bloodbiter	40
204	Slapface522	40
206	T045RTY	38
206	Chromary	38
206	Groundler	38
209	Apollo_993	36
209	dopplexd	36
209	titanlax	36
209	binman420	36
209	Quotary	36
209	FishisTTV	36
215	jessewegottacook	34
215	TheDankPlatypus	34
217	eiC_	32
217	benediktine1	32
217	Kynigito	32
217	ReyTheLegend	32
217	ItsJunoIGuess	32
217	Kubeusz2010	32
217	xolstoi	32
217	trexgb	32
225	ThePoliteG	30
225	DaviusMaximoose	30
225	natajimi	30
228	Powowowow	29
228	Jimb0nat0r	29
230	Luminad3	28
230	audiocracked	28
230	Blu3beast	28
233	TheDiamondCG	26
233	ooga47	26
233	fkGrim	26
233	Meatlaugh	26
233	IAmTheWalrus910	26
233	jcool7	26
233	RoboTramp7865	26
233	Zoeyfortnite	26
241	SteveCraftBlocks	25
242	BlancoFlaco	24
242	301851	24
242	ccormacs	24
242	Frxnkz	24
242	Jiminbub	24
242	MAns_44	24
242	Hisiste	24
242	ZoomieZoomie	24
242	calamariclam_I	24
251	ThiccExotic	22
251	fallingemma	22
251	Snowflowe	22
251	Quincannon	22
251	Hermanni__	22
251	mountaingirl311	22
257	excelsionprime	20
257	Blazebit	20
257	NoxxxxiS	20
257	smarticuno	20
257	MyNameIsJobo	20
257	zToasty69z	20
257	Lutres_Torane	20
257	Xclax101	20
257	Dusk_95	20
257	Luigipunch989	20
267	Louiis123	18
267	Yatitay	18
267	6king6colt6	18
267	Franco093	18
267	MonitorLizards	18
267	victorLIE	18
267	AuroraSkies	18
267	MrMeisterProper	18
267	00000000-0000-0000-0009-01f073f37a91	18
276	Ev0luti0nz	16
276	ColeSnyder	16
276	ratglock	16
276	MrExplorer	16
276	orxngejuice	16
276	Donutt	16
276	Dan_Scha	16
276	fluddd	16
276	MakeHistory157	16
285	teslawolf38	14
285	Ardennes	14
285	Bumpy419	14
285	groofles	14
285	ProfessorDiaper	14
285	33sudo	14
285	Kijiki	14
292	jimbo61101jr	12
292	TheMaster972	12
292	jacxhadow	12
292	catandmoose	12
292	MattieHD	12
292	slkiey	12
292	Z3braYTIL	12
292	Mariopreeet	12
292	intropass	12
