rank	username	minecraft:crafted/minecraft:light_gray_carpet
1	YungMaki	110845
2	noam464	37053
3	Spacewardharpy7	32249
4	joethahobo	15995
5	EcksD	7401
6	Smoke____	4704
7	Rumpletaezer	4596
8	Swexti	3939
9	heckface	3438
10	Huwulling	2688
11	kekhon	2117
12	Mahoose	1482
13	thewindmillman	1440
14	CattSoup	1344
15	ConnorDanky_	1068
16	Snowflowe	1065
17	Quotary	981
18	Lord_Jord	752
19	Blaiku	750
20	Crowman1	707
21	pintsizedrogue	576
22	mwrty	567
23	Hoid_the_Roamer	543
24	beeperbeeper5	540
25	FreakGenius	465
26	HellsSponge	441
27	eitanzaki	435
28	Legendosh	390
29	Historical_Sand	360
30	Sral7	312
31	Groovy_MoonBird	288
31	RoofTyler	288
31	Quaintster	288
34	Groundler	246
35	luseis	244
36	weabis	228
37	500am	210
38	RebelAndroid	192
38	IamCL4SSY	192
40	mihimihimihi	174
41	MovingFish7	144
42	titanlax	129
42	NomadicRobin_	129
42	EveryonesUncle	129
45	Merv__	123
46	Akoot_	111
47	IWorkAtIkea	99
47	KingMatthew506	99
47	Enderxz3	99
47	PlasticOtari	99
51	cedric72	96
52	Ezekson	93
53	SkateboardR6	87
54	Werbe	84
55	Jeteight	81
56	ApophisNova	75
56	lcvezra	75
56	MyNamaSheff	75
59	vandmanden	66
60	RoskobiOne	57
60	Rebytre	57
62	epiksk8erduck	52
63	Blackberry1310	51
63	TheSecondLord	51
65	Di_infiri	48
65	MinuteMira	48
67	Inbefour	45
67	TechnoNinja64	45
69	Jokerman369	42
70	Scathra	39
71	SpaceGrenadier	36
71	Eraxa	36
73	Doom_melon	32
74	6king6colt6	30
75	CACTUSLAD	27
76	PhantomsGhost_	24
76	Frozil20	24
76	ratglock	24
76	surfinggiraffejp	24
76	lordpipe	24
76	Eczbek	24
82	PortlyPete69	21
83	thescout7	18
83	07shiny	18
83	Kowcio_	18
86	m_be9	16
87	Cowison	15
87	Cortexia	15
87	Megarboh	15
87	M_Patata	15
87	Onennon	15
87	EfficientC52	15
87	El_Jalapeno	15
87	MasterNueve	15
87	Njensen7	15
96	bloodbiter	12
96	Steelynan	12
98	_Dean_123	9
98	Meatlaugh	9
98	ewpunk	9
98	xolstoi	9
102	Soplight	8
103	Mr_Byzantine	6
103	squigglybones	6
103	MattieHD	6
103	Ecplosive	6
103	RyuNeko932000	6
103	LilLizardWizard	6
103	NameGenerat0r	6
103	UCP_TheKingK	6
103	The_SlideV5	6
112	ImpavidArcher	3
112	RatatJuice	3
112	Prodiginus	3
112	orxngejuice	3
112	platinumzero	3
112	Windo_licker	3
112	Hyp3rion_	3
112	MonitorLizards	3
112	ougstur	3
112	ogoa	3
112	Deathkob	3
112	SwooshBoi	3
112	censorsheep	3
112	__tomato	3
112	Drawgirl	3
112	Hermanni__	3
112	smogfrog	3
112	Jimb0nat0r	3
