rank	username	minecraft:crafted/minecraft:chiseled_stone_bricks
1	Hyp3rion_	8666
2	Smashic	7672
3	Krowuss	6272
4	Wolverine4302	5042
5	mymayowasgone	4736
6	Kowcio_	4474
7	Alteriity	4156
8	noam464	3883
9	EcksD	2757
10	El_Jalapeno	1989
11	Merv__	1932
12	joethahobo	1796
13	Huwulling	1792
14	EMC_	1736
15	Yamdalorian	1666
16	beeperbeeper5	1567
17	madderfall	1477
18	Sral7	1472
19	Kakolbus	1285
20	AlexxO_o	1284
21	oscminus	1280
22	TheShyPig	1236
23	pixelviolin	1185
24	himak1	1160
25	Di_infiri	1137
26	Lord_Jord	1088
27	miramyu	1076
28	Lez_	764
29	Xclax101	701
30	lordpipe	660
31	j5ylim	649
32	Comma__	608
33	Tyrannosplart	557
33	Typadopoulos	557
35	Cortexia	555
36	Nicserso	529
37	_Virify_	528
38	Winklepicker279	486
39	Werbe	484
40	Studio4x32	468
41	PaperCanvas	467
42	Elastiq	436
43	thescout7	431
44	OfficerAnvil	427
45	kekhon	419
46	Eraxa	416
47	Kubelz	402
48	Steelynan	386
49	Buuck_	377
50	pumpfonzo	364
51	Mahoose	352
52	Frozil20	349
53	ECstardust	344
54	mihimihimihi	330
55	excelsionprime	320
56	Apollo_993	292
57	Skylord_Luke	263
58	purpolepickle	262
59	hanaryheatwave	260
60	Kferno	258
61	Cowison	256
61	gcaisawesome	256
63	K_a__a_n	255
64	Rumpletaezer	244
65	benediktine1	232
66	07shiny	222
67	diamondgolem35	221
68	m_be9	215
69	Inbefour	212
70	HellsSponge	209
71	Jokerman369	207
72	titanlax	206
73	Factoroni	192
74	FreakGenius	186
75	luseis	183
76	Quotary	172
77	Soplight	170
78	VentiHilton	166
79	eitanzaki	156
79	Rani_R	156
81	Ezekson	152
82	ApophisNova	148
82	MyNamaSheff	148
84	The_slideV3	145
85	Druid95	136
86	6king6colt6	135
87	Doom_melon	134
88	PlasticOtari	132
89	12Magner05	128
89	gamerlord1324	128
89	FishisTTV	128
92	00000000-0000-0000-0009-01ff0c3e5e4f	127
93	LuvLuvLove	125
94	ThePoliteG	117
95	CaptainDeadBread	112
96	Manaateee	100
97	UncreativeArtist	97
97	Jackattack53	97
99	Enderxz3	96
100	Chromary	90
101	LordSpeed37	89
102	Kijiki	84
103	_stets	78
103	MrExplorer	78
103	StinkyDiplomat	78
106	Boipl	75
107	FlashMigma	73
108	Toiton	71
109	Historical_Sand	69
109	MightyWertu	69
111	doublemaki	66
112	TheSecondLord	65
112	MinttyFressh	65
114	Mr_Byzantine	64
114	RebelAndroid	64
114	nattybears	64
114	Lazy_geniusig	64
114	FirsTimeGamingTV	64
114	wwwwinnebagoooo	64
114	TheEnderMan548	64
114	Njensen7	64
114	ConnorDanky_	64
123	Fuad_R	63
124	RyuNeko932000	62
125	JETrotter	61
126	Legendosh	60
127	PortlyPete69	59
128	K2IROS	57
128	__tomato	57
130	royal_2	56
131	DinoDoctor_	52
131	platinumzero	52
131	starbits140	52
134	Donutt	49
135	Tersea_	48
135	ROY4LE	48
137	_Dean_123	45
138	burbankbuilder28	44
138	Avocadogerms	44
140	Warlord324	42
141	Touched_Bread	41
141	Pumpkin_P_Patch	41
143	U_Mos_	40
144	BodaciousCake	39
145	Smiguli_	38
146	Secret_Canary	36
147	_witch_craft_	35
148	ganyuganyu	34
148	MattieHD	34
150	Incinere	33
151	Louiis123	32
151	robertsnose	32
151	HUNTERmaun	32
151	_flud	32
155	SyK7	31
156	Arceus1975	30
156	cuddlyMonster	30
158	CLG_Kata	28
158	Snowflowe	28
158	Blu3beast	28
161	SingedBread	24
162	The_SlideV5	23
163	soundad	21
163	KarlKaek	21
163	rarrq	21
163	DSYisDizzy	21
163	cichy096	21
168	JohnnyMines	20
168	Myszoaz	20
168	SSytex_X	20
171	Tobinator_007	18
171	wx4z	18
171	Eczbek	18
174	craaaash	17
174	SvenskaHugo	17
176	prizm_	16
176	XxCookiequeenxX	16
176	TheWickedBird	16
179	_Huge_Male_	15
179	wobn	15
179	Segotep999	15
182	RustyKedel	14
183	shdesolt	13
184	Bobby808	12
184	Onennon	12
186	RobotMinion101	10
186	Hahaa_0	10
188	SkateboardR6	9
189	Bandito_Roamer	8
189	PazinGaming	8
189	teslawolf38	8
189	CharlieButt	8
189	Zythose	8
189	avalan64	8
189	TheKingK_	8
196	impossibleteapot	7
196	kars0n	7
196	Fuhrer_Teemo	7
199	ImpavidArcher	6
199	Ozixar	6
199	Tiberonus	6
199	Bazongoman	6
199	Mr_Sun15	6
199	wezzzi	6
205	pintsizedrogue	5
205	EdaterPure	5
205	Moss_2006	5
208	SyntheticSurgeon	4
208	TheThomas69	4
208	NotMeanttoChange	4
208	F_Uhre	4
208	NameGenerat0r	4
208	robonya_	4
208	Kubeusz2010	4
208	EngagedGrub41	4
216	BobDeBouwer1337	3
216	Cruncy_	3
216	PigDab	3
216	cedric72	3
216	JESS_THE_RERE	3
216	Jamstroxian	3
216	_i_ERROR_i_	3
216	Skippeh	3
216	HesDemonPants	3
225	RoskobiOne	2
225	lorywithay	2
225	Archsam	2
225	fr0stss	2
225	MyNameIsJobo	2
225	AnnieBathory	2
225	FishyBoy3811	2
225	EdGalbraith	2
225	lunkuku	2
225	IdeallyGrey	2
235	HFSC	1
235	Moofyman	1
235	Deathkob	1
235	Hisiste	1
235	LetsDoItLive	1
235	obzii	1
235	tompup	1
235	WYFYoyo	1
235	h2p_emrld	1
