rank	username	minecraft:crafted/minecraft:magenta_concrete_powder
1	lordpipe	14032
2	Spacewardharpy7	6912
3	YungMaki	3232
4	Ezekson	2472
5	beeperbeeper5	824
6	PigDab	768
6	Steelynan	768
8	teslawolf38	512
9	LordSpeed37	424
10	ROY4LE	256
11	thewindmillman	248
11	sp00ky_ghost977	248
13	TheSecondLord	200
14	mwrty	192
15	RoofTyler	128
15	CornOnTheCobalt	128
15	xzvu	128
18	EMC_	64
18	ExtraDumb	64
18	eitanzaki	64
18	noam464	64
22	joethahobo	48
23	Merv__	40
24	Swexti	32
24	Arceus1975	32
24	_Boipl_	32
24	UrbanPlanningEx	32
28	WyngGoy	24
29	Truckoss	16
29	KingMatthew506	16
29	Legendosh	16
29	Smoke____	16
33	500am	8
33	MousePlays	8
33	HellsSponge	8
33	jnp_gaming	8
