rank	username	minecraft:crafted/minecraft:netherite_upgrade_smithing_template
1	OreTheBear	70
2	oscminus	62
3	Mattesco	22
4	powercas_gamer	18
4	Strats__	18
6	Samificator	16
7	Jimb0nat0r	12
8	beeperbeeper5	10
8	StarCookiees_	10
10	LagVibes	8
10	lorywithay	8
10	Smashic	8
10	2extreeme	8
10	MineMaster0012	8
15	hanaryheatwave	6
15	Buuck_	6
17	Apollo_993	4
17	TooPure2	4
17	noam464	4
17	Jackattack53	4
17	Hyp3rion_	4
17	Krowuss	4
17	Werbe	4
17	_Mythic____	4
25	CLG_Kata	2
25	PazinGaming	2
25	tuckerdoodle	2
25	Alteriity	2
25	Quaintster	2
25	xolstoi	2
