rank	username	minecraft:crafted/minecraft:netherite_pickaxe
1	Esme_1	16
2	joethahobo	9
2	gusstationwerker	9
4	Marbz_	7
4	Enderxz3	7
6	PigDab	6
7	EMC_	5
7	12Magner05	5
7	Smoke____	5
10	RebelAndroid	4
10	ApophisNova	4
10	GoofySilly	4
10	YungMaki	4
10	obzii	4
10	MyNamaSheff	4
16	pintsizedrogue	3
16	RoskobiOne	3
16	hm947	3
16	BobDeBouwer1337	3
16	Awyrlas	3
16	Touched_Bread	3
16	Di_infiri	3
16	SuperPooch06	3
16	Zythose	3
16	ogoa	3
16	Quaintster	3
16	Kowcio_	3
16	MilleGrug	3
16	RadarHz	3
16	FelixPSY375	3
31	JohnnyFyes	2
31	Cowison	2
31	PazinGaming	2
31	SmashingPump	2
31	AuroraValkyrie	2
31	Yatitay	2
31	6king6colt6	2
31	ImpavidArcher	2
31	tuckerdoodle	2
31	Wooptey	2
31	Ryker	2
31	Alteriity	2
31	CoffeeNoir	2
31	NinjaKnifeKill	2
31	Myszoaz	2
31	ITDV	2
31	NieToksikpl	2
31	Crowman1	2
31	mattybeewrapss	2
31	MinttyFressh	2
31	Megarboh	2
31	500am	2
31	Kkanot	2
31	Inchef	2
31	Xalithia	2
31	Cellcorgi649	2
31	Mobstr	2
31	shadowthemonkey	2
31	Winklepicker279	2
31	CollinMH06	2
31	Jackattack53	2
31	Chromary	2
31	thewindmillman	2
31	Rocco_Lane	2
31	BronkerBrum	2
31	Rebytre	2
31	Hiryu27	2
31	HAIRYCLOUD626	2
31	KartivGal	2
31	AlexxO_o	2
31	Dan_Scha	2
31	Wowful	2
31	binman420	2
31	EveryonesUncle	2
31	Deodorante	2
31	Lutres_Torane	2
31	Fuad_R	2
31	HellsSponge	2
31	_Karmaa	2
31	NameGenerat0r	2
31	Nycteus_	2
31	MightyWertu	2
31	Racengan	2
31	SingedBread	2
31	LazySupport00	2
31	SkateboardR6	2
31	mihimihimihi	2
31	iSammael	2
31	sp00ky_ghost977	2
31	Ze_BaronKrigler	2
31	PortlyPete69	2
31	_Yonk_	2
31	GlitchyPlate810	2
31	Steelynan	2
31	Eczbek	2
31	Kubeusz2010	2
31	TheOuterCore	2
31	MissCeleste7	2
31	Jimb0nat0r	2
100	chipklip	1
100	ganyuganyu	1
100	Paint	1
100	teslawolf38	1
100	shineh10	1
100	Sleek_Storm_721	1
100	diamondgolem35	1
100	bigstankyy	1
100	Flores991	1
100	SyntheticSurgeon	1
100	TAKrules	1
100	Mahoose	1
100	Da_Boss_Rani	1
100	SquadMonster	1
100	FirsTimeGamingTV	1
100	Prodiginus	1
100	xPixelRainx	1
100	TheSecondLord	1
100	jacxhadow	1
100	Chickenchaser2	1
100	Jakobo1337	1
100	Nicky_H225	1
100	Moyd_	1
100	Secret_Canary	1
100	shyshyannne	1
100	CyrusIsTired	1
100	4774	1
100	Flapjacker687	1
100	NotTrixi	1
100	ROY4LE	1
100	Covalents	1
100	noam464	1
100	benediktine1	1
100	CharlieButt	1
100	funnyblitz123	1
100	TheDankPlatypus	1
100	ReverendSmith	1
100	Jonafrog99	1
100	mexicancharlie	1
100	Hyp3rion_	1
100	burbankbuilder28	1
100	King_Pancake1	1
100	LAVA129	1
100	0Vyp_	1
100	MangoTheFish	1
100	pappaberg	1
100	The_Fulgurator	1
100	CowOfTheNile	1
100	Afinnity	1
100	SpaggeDR	1
100	LeGold	1
100	Jonte0599	1
100	SvenskaAlvar	1
100	spellmre	1
100	KeruNatsema	1
100	PuFY	1
100	Hail_the_wombat	1
100	ReSynced	1
100	Gab4101	1
100	yulgur1	1
100	NomadicRobin_	1
100	masskedman	1
100	NoChumpChange	1
100	luseis	1
100	Deathkob	1
100	lillips	1
100	DarkS0L	1
100	RoofTyler	1
100	shrimp_flips	1
100	Lifedy	1
100	RoBe__	1
100	Shogunite	1
100	DanTheBuilderino	1
100	MAns_44	1
100	Not_Insom	1
100	censorsheep	1
100	Blaiku	1
100	Arlosaurus	1
100	Yahir091	1
100	lordpipe	1
100	monky_irl	1
100	Dusk_95	1
100	ItsDeltaMC	1
100	ZoharGoldMine	1
100	Strangemonkey71	1
100	hdtpm	1
100	IdeallyGrey	1
100	pixelviolin	1
100	djancak	1
100	Soplight	1
100	Kekoo	1
100	LeEricc	1
100	Heisenbberrg	1
100	NATE_the_HALO	1
100	UltraZombie	1
100	fffMike	1
100	jcool7	1
100	striker90333	1
100	DiamondShaff	1
100	Iamthejo	1
100	ConnorDanky_	1
100	EcksD	1
100	Quotary	1
100	scarletwarrior1	1
100	smogfrog	1
100	Legendosh	1
100	HesDemonPants	1
100	coobert42	1
100	remmisrat	1
100	Freedrik	1
100	00000000-0000-0000-0009-01ff0c3e5e4f	1
100	00000000-0000-0000-0009-01fec705f83f	1
