rank	username	minecraft:crafted/minecraft:scaffolding
1	Hyp3rion_	148966
2	LexMakesHistory	47616
3	thewindmillman	43077
4	joethahobo	32686
5	PigDab	12378
6	AdmiralSmoke	8262
7	EMC_	6948
8	Alteriity	6522
9	Werbe	6426
10	MightyWertu	5952
11	mihimihimihi	5586
12	lordpipe	4754
13	TheShyPig	4698
14	Ezekson	4326
15	PlasticOtari	3654
16	cedric72	3570
17	SammiWolfGirl	3422
18	12Magner05	3030
19	500am	2802
20	Frozil20	2768
21	Kakolbus	2424
21	Spacewardharpy7	2424
23	Mahoose	2250
24	Jimb0nat0r	2220
25	eitanzaki	2112
26	Hisiste	2010
27	pintsizedrogue	1998
28	KarlKaek	1980
29	YungMaki	1974
30	Lord_Jord	1942
31	TechnoNinja64	1926
32	PhantomsGhost_	1890
33	lillips	1854
34	Euclidoris	1848
35	fw3xy74	1792
36	Lez_	1728
37	Fuad_R	1708
38	Blackberry1310	1694
39	Fullut	1662
40	Shogunite	1632
41	Akoot_	1500
42	Jackattack53	1440
43	IamCL4SSY	1390
44	xxPipperDipperxx	1374
45	EcksD	1344
46	SquadMonster	1212
47	HellsSponge	1158
48	SlayerCrypto	1116
49	RadarHz	1062
50	Mr_Byzantine	1050
50	Zythose	1050
52	Luigipunch989	1038
53	beeperbeeper5	1026
53	TheSecondLord	1026
55	FreakGenius	1020
56	PazinGaming	1011
57	legal_tax_evader	996
58	m_be9	984
59	Manaateee	978
60	excelsionprime	972
61	StinkyDiplomat	966
62	RebelAndroid	960
62	NotMeanttoChange	960
64	Elastiq	948
64	luseis	948
66	Merv__	894
67	Lutres_	888
68	Steelynan	882
69	stellarjay	874
70	MAns_44	858
71	noam464	842
72	diggydog67	822
73	rarrq	816
73	TheTrueClipse	816
73	EngagedGrub41	816
76	mariominejedi	798
77	bloodbiter	790
78	H0UNDFRMH3LL	768
78	Krowuss	768
78	LeonelSalamanca	768
81	__tomato	762
82	thescout7	750
82	SuperPooch06	750
84	Soplight	738
85	Soap_Bender	732
85	Njensen7	732
87	_Meow_Mix	684
87	UrbanPlanningEx	684
89	ROY4LE	648
89	prizm_	648
91	Stiar	642
92	BobDeBouwer1337	636
92	r123moore	636
92	Snowflowe	636
92	iSammael	636
96	Di_infiri	632
97	FirsTimeGamingTV	612
98	M_Patata	606
98	MasterNueve	606
100	ooga47	594
101	himak1	588
102	ssleepless	576
102	Smashic	576
102	RobotMinion101	576
105	rotten_mango	564
106	kekhon	552
107	MyNameIsJobo	528
107	Onennon	528
107	EveryonesUncle	528
110	drunkeeez	526
111	Awyrlas	510
111	Skippeh	510
113	TheBananaKat	508
114	HAIRYCLOUD626	492
114	pixelviolin	492
116	Deathkob	486
117	Bumpy419	480
117	UCP_TheKingK	480
119	xzvu	474
119	Legendosh	474
121	zToasty69z	464
122	Nicserso	462
122	calamariclam_I	462
124	titanlax	456
125	Cowison	450
125	Ryker	450
125	fkGrim	450
128	MineMaster0012	444
129	Megarboh	438
129	TheWildMateo	438
131	Eraxa	432
132	Ssor69	420
133	Airem_Core	414
134	_Dean_123	402
134	ehunt54	402
134	Iamthejo	402
137	TooManyDuck	384
137	nattybears	384
137	MinttyFressh	384
137	set67	384
137	Candad_	384
137	Marbz_	384
137	SingedBread	384
144	_TCARREIRA_	380
145	Arceus1975	378
145	RefluxRatio	378
145	skrongus	378
148	k_ce	372
148	TheDankPlatypus	372
148	AstreaTSS	372
151	dongli	366
152	gcaisawesome	354
153	FishisTTV	348
154	Bandito_Roamer	342
155	shineh10	336
156	Covalents	330
157	IWorkAtIkea	318
157	CollinMH06	318
157	lcvezra	318
160	Quotary	313
161	Typadopoulos	312
162	jushykins	294
162	Juh1s	294
164	Malorn_Aetherius	276
165	SaintJosie	270
165	DanTheBuilderino	270
165	Segotep999	270
168	TheThomas69	264
169	impossibleteapot	258
169	PaperCanvas	258
169	Tyrannosplart	258
172	Hiryu27	252
172	bearlystraight	252
174	Ze1ig	246
174	Jimi7hits	246
174	Darkgon	246
174	kalzor	246
178	dopplexd	240
178	Xalithia	240
180	bigstankyy	234
180	Deerfoot	234
182	eiC_	228
183	wezzzi	222
183	Sheldor097	222
185	Notta	216
185	Drewen24	216
187	eviltunix	210
187	mawileite	210
189	heckface	204
190	youhjjhhhjj	198
190	NieToksikpl	198
190	MonitorLizards	198
193	T045RTY	192
193	G1ldor	192
195	6king6colt6	186
196	ProfessorBee	180
196	alderban107	180
196	anbbang	180
196	00000000-0000-0000-0009-01ff0c3e5e4f	180
200	FelixPSY375	174
201	Natty	168
201	MrExplorer	168
201	Chromary	168
201	CornOnTheCobalt	168
201	MissCeleste7	168
206	Ryan_GEMS	162
