rank	username	minecraft:crafted/minecraft:lime_stained_glass
1	Hyp3rion_	23192
2	Spacewardharpy7	13824
3	MyNameIsJobo	7314
4	lordpipe	6608
5	beeperbeeper5	5856
6	noam464	3584
7	_Virify_	2984
8	Lez_	1512
9	Inbefour	1464
10	Swexti	1024
11	Smoke____	1000
12	eitanzaki	944
13	El_Jalapeno	792
14	thewindmillman	648
15	Werbe	520
16	MakeHistory157	512
17	mwrty	496
18	underscore_2	320
19	Mythic1130	176
20	luseis	160
21	pixelviolin	144
22	Jackattack53	128
22	EveryonesUncle	128
22	lillips	128
22	PortlyPete69	128
26	Groovy_MoonBird	104
26	Groundler	104
28	Chromary	88
28	Snowflowe	88
30	RoskobiOne	80
30	Wooptey	80
32	sxc_	72
32	DTwenty	72
32	The_slideV3	72
32	Blaiku	72
36	Notta	64
36	500am	64
36	Kakolbus	64
36	Marbz_	64
36	DC_XII	64
36	KingMatthew506	64
42	joethahobo	56
42	titanlax	56
42	Fullut	56
45	abramgray	48
46	jnp_gaming	40
47	oreee	32
47	tobinwilliams	32
47	Akoot_	32
47	CattSoup	32
51	rarrq	24
51	Blackberry1310	24
51	Orcus113	24
51	F_Uhre	24
51	Mattesco	24
51	Dusk_95	24
57	HellsSponge	20
58	Merv__	16
58	AuroraValkyrie	16
58	TheSecondLord	16
58	SaintJosie	16
58	Maenara	16
58	Lowjinx	16
64	Jovaphobic	8
64	teslawolf38	8
64	SaucyDark	8
64	CliffEmAll	8
64	xxPipperDipperxx	8
64	SuperPooch06	8
64	Rumpletaezer	8
64	Bumpy419	8
64	Onennon	8
64	Blu3beast	8
64	fluddd	8
64	MightyWertu	8
64	iSammael	8
64	Kowcio_	8
64	Soplight	8
64	Dogcorn69420	8
64	Quotary	8
64	little_dUki	8
