rank	username	minecraft:crafted/minecraft:light_gray_wool
1	xxPipperDipperxx	1172
2	Inbefour	1152
3	Swexti	962
4	Di_infiri	640
5	HAIRYCLOUD626	448
6	Werbe	384
6	AssEatrAndLicker	384
8	Quotary	267
9	DarlaMeow	188
10	TheSecondLord	184
11	IWorkAtIkea	143
12	Njensen7	128
13	Blaiku	125
14	Historical_Sand	103
15	mwrty	95
16	Smoke____	83
17	lcvezra	71
18	EveryonesUncle	68
19	lordpipe	65
20	Lord_Jord	64
21	Legendosh	63
22	_Dean_123	61
23	kekhon	58
24	Winklepicker279	52
25	Skylord_Luke	50
26	pappaberg	48
27	EcksDofficial	39
28	pintsizedrogue	38
28	Frozil12	38
30	Zaridey	31
31	M_Patata	28
31	MasterNueve	28
33	Snowflowe	25
34	Megarboh	24
35	m_be9	18
35	RobotMinion101	18
35	NomadicRobin_	18
35	YoshikageBites	18
39	ProfessorBee	17
40	6king6colt6	16
40	surfinggiraffejp	16
42	Blackberry1310	14
42	oxfordschool	14
44	H72l9w	12
44	500am	12
44	thewindmillman	12
47	Akoot_	11
47	Freak_Genius	11
49	EfficientC52	10
49	pixelviolin	10
51	Jiminie	9
51	Fuhrer_Teemo	9
51	Kowcio_	9
54	squigglybones	7
55	Dusk_95	6
55	Dogcorn69420	6
57	joethahobo	4
57	MattieHD	4
57	YungMaki	4
57	Soplight	4
61	MrExplorer	3
61	orxngejuice	3
61	Jamstroxian	3
64	Merv__	2
64	rarrq	2
64	epiksk8erduck	2
64	ogoa	2
68	Scathra	1
68	Onennon	1
68	fluddd	1
68	SSytex_X	1
68	Ezekson	1
68	Enderslayerxz3	1
