rank	username	minecraft:crafted/minecraft:oak_sign
1	HellsSponge	2718
2	EveryonesUncle	2386
3	m_be9	1359
4	Freak_Genius	1032
5	EcksD	694
6	beeperbeeper5	654
7	joethahobo	573
8	Mahoose	566
9	eitanzaki	489
10	2Stout	456
11	__tomato	418
12	youhjjhhhjj	396
13	Sheldor097	384
14	Werbe	366
15	Spacewardharpy7	348
16	Di_infiri	334
17	noam464	330
18	TheShyPig	309
19	SlayerCrypto	291
19	CrateOfBoxes	291
21	Marbz_	288
22	YungMaki	270
23	Frozil12	258
24	Lord_Jord	243
25	SteveCraftBlocks	237
25	_Dean_123	237
27	Smoke____	228
28	Blaiku	222
29	claivin	207
30	Warlord324	204
30	Legendosh	204
32	PlasticOtari	195
33	Z3braYTIL	193
34	k1ngGilgamesh	192
35	ROY4LE	189
36	Akoot_	177
37	Segotep999	176
38	pintsizedrogue	171
38	Truckoss	171
38	Enderslayerxz3	171
41	alderban107	165
42	thescout7	163
43	MightyWertu	160
44	Mr_Byzantine	159
44	Xclax101	159
46	Historical_Sand	156
46	Onennon	156
46	Deerfoot	156
46	Hermanni__	156
50	MovingFish7	151
51	LilyNova	135
52	xxPipperDipperxx	129
52	Skylord_Luke	129
52	Steven1282598	129
52	WyngGoy	129
56	ApophisNova	126
56	MyNamaSheff	126
58	EMC_	123
59	Inbefour	120
60	StinkyDiplomat	118
61	teslawolf38	117
61	lcvezra	117
61	Steelynan	117
61	TechnoNinja64	117
65	bigstankyy	114
65	Blackberry1310	114
65	mwrty	114
65	Racengan	114
65	BumbleBeever	114
65	Soplight	114
71	PlzNoBM	111
72	MSK__	105
73	PhantomsGhost_	102
74	Nicky19	99
74	bpmm	99
74	yulgur1	99
74	Blu3beast	99
78	Auseawesome	96
78	Groundler	96
80	Hyp3rion_	93
81	_Virify_	90
81	bloodbiter	90
81	Cocoamallows	90
81	Strangemonkey71	90
81	Zoeyfortnite	90
86	500am	87
86	gcaisawesome	87
88	NieToksikpl	84
88	Smashic	84
88	El_Jalapeno	84
88	Spenduh	84
92	epiksk8erduck	81
92	Fuhrer_Teemo	81
94	dimondking777	78
94	Merv__	78
94	6king6colt6	78
97	Ssor69	75
97	lordpipe	75
97	MilleGrug	75
100	stavgod	74
101	Malorn_Aetherius	72
101	Mewar	72
101	Zaridey	72
101	cichy096	72
105	Menthas	69
105	Rumpletaezer	69
107	AlphaWolfPlaysMC	66
107	NomadicRobin_	66
107	kinas45y5	66
110	TheSecondLord	63
110	Awyrlas	63
110	DanTheBuilderino	63
113	Frxnkz	60
113	MattieHD	60
113	thewindmillman	60
113	masskedman	60
113	Jij0	60
118	Groovy_MoonBird	57
118	r123moore	57
118	eiC_	57
118	XboxPanda	57
118	Bumpy419	57
118	Katsuragi0243218	57
118	The_slideV3	57
125	ImpavidArcher	54
125	Paintz	54
125	lillips	54
125	_k2x	54
129	CoffeeNoir	51
129	Myszoaz	51
129	Jackattack53	51
129	PigDab	51
129	fluddd	51
129	SkateboardR6	51
129	oxfordschool	51
129	Nicserso	51
137	Zippyzam	49
138	Cowison	48
138	awesomeoneme	48
138	oreee	48
138	Rebytre	48
138	Sky_light_KING	48
138	Powowowow	48
138	UrbanPlanner1978	48
145	T045RTY	45
145	Lez_	45
145	Fullut	45
145	bloomkieren	45
149	benediktine1	44
150	Alteriity	42
150	CharlieButt	42
150	loveseeker	42
150	Skomo	42
150	gustarbite	42
150	Vorlice	42
150	jnp_gaming	42
150	MelodyGaysharks	42
158	ShedJr_	39
158	hzs91	39
158	BobDeBouwer1337	39
158	purpolepickle	39
158	King_Pancake1	39
158	_8man	39
158	Quotary	39
158	diggydog67	39
166	weezygator	36
166	Dedalus36	36
166	Scathra	36
166	yaboo88	36
166	Genius4Hire	36
166	_Karmaa	36
166	Kowcio_	36
166	Sral7	36
166	00000000-0000-0000-0009-01f898304150	36
175	GoofyBread	34
176	Swexti	33
176	rarrq	33
176	wiqor	33
176	prizm_	33
176	Karetoko	33
176	The11thDoctor	33
176	_naturell	33
176	sxc_	33
176	Jiminie	33
176	the_russell1611	33
176	Fuad_R	33
176	NameGenerat0r	33
176	Shin69	33
176	yatsuta	33
176	SammiWolfGirl	33
176	mawileite	33
176	Ezekson	33
193	Jovaphobic	30
193	Matemaks2137	30
193	awesomeweasel	30
193	livingdaydreams	30
193	Motsaro	30
193	theonlymagikarp	30
193	TheDankPlatypus	30
193	_Buffo	30
193	fw3xywashere	30
193	censorsheep	30
193	Kyrum2169	30
204	ewsophie	27
204	titanlax	27
204	shdesolt	27
204	IforgotCS_Source	27
204	KGTV	27
204	Covalents	27
204	burbankbuilder28	27
204	RobotMinion101	27
204	FishyBoy3811	27
204	Fildyr	27
204	CalebDHawk	27
204	Dreamdbr14	27
204	anbbang	27
204	BreadBacon	27
204	vandmanden	27
219	Stynxy	24
219	kekhon	24
219	Aatronix1	24
219	_Nuf	24
219	set67	24
219	DSYisDizzy	24
219	ItzYaBoiPicard	24
219	DermeinUser	24
219	SuperPooch06	24
219	Arceus1975	24
219	RyuNeko932000	24
219	ooga47	24
219	Kouridragon	24
219	lizardfightclub	24
219	wezzzi	24
219	chipklip	24
219	Darkgon	24
219	shrimp_flips	24
219	Quaintster	24
219	GravitySaint	24
219	cog	24
219	Th6masss	24
219	LordSpeed37	24
219	IdeallyGrey	24
219	BlankityMcBlank	24
219	tsitrawhy	24
219	Luigipunch989	24
219	MissCeleste7	24
219	ThatBurritoTh0	24
248	Astronicky	21
248	dongli	21
248	H72l9w	21
248	FirsTimeGamingTV	21
248	Megarboh	21
248	Guillemet	21
248	AJplaysMC_	21
248	Chromary	21
248	seramalen	21
248	Drewen24	21
248	Maenara	21
248	Lord_Zacler	21
248	Nycteus_	21
248	MakeHistory157	21
248	CSG_Haru	21
248	Nekomin0	21
248	jcool7	21
248	gaming4Naming	21
248	Njensen7	21
267	jewbacaman	19
268	IWorkAtIkea	18
268	jushykins	18
268	G1ldor	18
268	Septemb3r	18
268	ToastedGamingYT	18
268	ClemenPine	18
268	AuroraSkies	18
268	DizzleJay311	18
268	_Crimson_Legate	18
268	audiocracked	18
268	_Bguette_	18
268	SolicitedPuma101	18
268	voiding_	18
281	Louiis123	15
281	q_wq	15
281	Sleek_Storm_721	15
281	I_Am_Mushkin	15
281	Hormones	15
281	AdvertisingMerc	15
281	slkiey	15
281	Tmb1	15
281	TheDefiantDragon	15
281	Inchef	15
281	NotKaden_	15
281	mariominejedi	15
281	nitram49b	15
281	Snowflowe	15
281	Sqwishy	15
281	ogoa	15
281	Gab4101	15
281	NoChumpChange	15
281	Katthaj	15
281	DarkS0L	15
