rank	username	minecraft:crafted/minecraft:golden_sword
1	PhantomsGhost_	73
2	TheSecondLord	26
3	Akoot_	18
3	SammiWolfGirl	18
5	Nicky19	13
6	Mr_Byzantine	10
7	Zaridey	9
7	Leyna3	9
7	__tomato	9
10	RefluxRatio	6
10	AlphaWolfPlaysMC	6
10	YungWali	6
10	Kowcio_	6
14	AnnieBathory	5
14	_Mythic____	5
16	SeverianOfUrth	4
16	Kynigito	4
18	Ninzyyy	3
18	500am	3
20	RebelAndroid	2
20	bloodbiter	2
20	Scathra	2
20	Mewar	2
20	xxPipperDipperxx	2
20	Jackattack53	2
20	Meepcraft	2
20	ReflexCode	2
20	censorsheep	2
20	_Meow_Mix	2
20	SUN_DREAM	2
20	Celeste_121	2
32	Jovaphobic	1
32	Elprone266	1
32	CLG_Kata	1
32	RoskobiOne	1
32	BPTY4618	1
32	lewieinnit	1
32	Mahoose	1
32	Lez_	1
32	beeperbeeper5	1
32	featherflyy	1
32	Frxnkz	1
32	Cryptacity	1
32	intropass	1
32	MEMES4_LIFE	1
32	HoltGrim	1
32	DermeinUser	1
32	Karetoko	1
32	Winklepicker279	1
32	MyNameIsJobo	1
32	SuperPooch06	1
32	happy_mileo	1
32	Snowflowe	1
32	Fast_Turtle	1
32	The_Cruncy	1
32	TheShyPig	1
32	YahooScreen9000	1
32	Blackerstons	1
32	wezzzi	1
32	LeonelSalamanca	1
32	Tiktola01	1
32	El_Jalapeno	1
32	Bloo2406	1
32	Groundler	1
32	brofrickcheaters	1
32	Soffbord	1
32	Dreamdbr14	1
32	ConnorDanky_	1
32	2blox_	1
32	MelodyGaysharks	1
32	00000000-0000-0000-0009-01f570995a20	1
