rank	username	minecraft:crafted/minecraft:packed_ice
1	EcksD	117727
2	gcaisawesome	72134
3	joethahobo	67405
4	noam464	17962
5	LexMakesHistory	16289
6	Blaiku	15810
7	Smoke____	4750
8	Di_infiri	4578
9	Werbe	3550
10	PlasticOtari	3507
11	Spacewardharpy7	3456
12	Ezekson	3101
13	Eraxa	1067
14	StinkyDiplomat	949
15	himak1	710
16	iHuntWeeaboos	384
17	Winklepicker279	340
18	Sky_light_KING	331
19	censorsheep	324
20	MyNameIsJobo	244
21	obzii	243
22	set67	218
23	jnp_gaming	207
24	trexgb	173
25	pintsizedrogue	154
26	Historical_Sand	143
27	RebelAndroid	123
28	HellsSponge	109
29	Groovy_MoonBird	105
30	Soplight	85
31	FishisTTV	67
32	corvidpartyfor6	64
32	MineMaster0012	64
34	Cowison	56
35	Chromary	51
36	m_be9	45
36	MilleGrug	45
38	Freak_Genius	41
39	Cocoamallows	36
40	diamondgolem35	29
41	Bumpy419	26
42	12Magner05	23
42	Paintz	23
44	Mahoose	22
44	MightyWertu	22
46	bloodbiter	21
46	thescout7	21
46	Rumpletaezer	21
49	Deathkob	20
50	Mattesco	19
51	beeperbeeper5	15
51	SlayerCrypto	15
51	Jiminie	15
54	Snowflowe	14
54	proxivitoid	14
54	Warlord324	14
54	fffMike	14
54	smogfrog	14
54	vandmanden	14
60	CrateOfBoxes	11
61	Smiguli_	10
62	Crowvens	9
62	lordpipe	9
64	EMC_	7
64	eviltunix	7
64	Arceus1975	7
64	Zythose	7
64	HolyVenom	7
64	Zoeyfortnite	7
64	diggydog67	7
71	teslawolf38	6
71	slkiey	6
71	Covalents	6
74	andy_rex	4
75	ImpavidArcher	3
75	benediktine1	3
75	Spenduh	3
78	Maenara	2
79	Bobby808	1
79	xxPipperDipperxx	1
79	KartivGal	1
79	Jimi7hits	1
79	Hisiste	1
