rank	username	minecraft:crafted/minecraft:comparator
1	noam464	9034
2	Blaiku	2848
3	Spacewardharpy7	2492
4	Di_infiri	1894
5	thewindmillman	1827
6	Hyp3rion_	953
7	Awyrlas	921
8	HellsSponge	821
9	TheShyPig	779
10	Frozil12	671
11	Shogunite	576
12	T045RTY	464
13	PigDab	439
14	Eczbek	341
15	Smoke____	303
16	YungMaki	289
17	Hoid_the_Roamer	272
18	_Nuf	270
19	Inbefour	240
20	thescout7	227
21	ProfessorBee	223
22	Hisiste	191
23	Jackattack53	185
24	07shiny	159
25	Soplight	152
26	eitanzaki	149
27	m_be9	142
28	Werbe	140
29	mwrty	138
30	Merv__	131
31	ssleepless	130
32	Historical_Sand	129
32	Zythose	129
34	sp00ky_ghost977	128
34	Enderslayerxz3	128
36	AuroraValkyrie	125
37	Groundler	123
38	MangoTheFish	105
39	r123moore	102
40	Ezekson	101
41	beeperbeeper5	100
42	fffMike	93
43	PhantomsGhost_	88
43	12Magner05	88
45	Fullut	86
46	obzii	85
47	Barlycorn	83
48	pintsizedrogue	81
49	Kakolbus	79
50	oxfordschool	76
51	El_Jalapeno	75
51	fluddd	75
51	WyngGoy	75
51	Nicserso	75
55	Lord_Jord	74
56	Hermanni__	69
56	TechnoNinja64	69
56	kinas45y5	69
59	Freak_Genius	65
59	Factoroni	65
61	Iagoku	64
61	MyNameIsJobo	64
61	domagawha	64
61	Dogcorn69420	64
65	Darkgon	63
66	BronkerBrum	58
66	Skylord_Luke	58
68	Arceus1975	50
69	TheThomas69	49
70	Snowflowe	48
70	Hiryu27	48
72	Winston_Ingram	46
73	Covalents	42
73	DTwenty	42
75	Donutt	41
76	Stynxy	40
76	Kyrum2169	40
78	vandmanden	38
79	Deathkob	37
79	Quotary	37
81	Mewar	36
82	DanTheBuilderino	35
83	Rumpletaezer	34
84	eiC_	31
85	Paintz	30
86	MightyWertu	28
87	Fildyr	27
88	ayqq	26
88	benediktine1	26
88	Akoot_	26
88	The_slideV3	26
92	jnp_gaming	25
93	__tomato	24
94	egglapras	23
94	Zoeyfortnite	23
96	EMC_	22
97	M_Patata	21
97	gabriels543	21
97	Bumpy419	21
97	ooga47	21
97	TheSeismicDuck	21
97	MasterNueve	21
97	Cocoamallows	21
97	ayamefag	21
105	gcaisawesome	20
105	MilleGrug	20
107	RebelAndroid	19
107	Blackberry1310	19
107	GravitySaint	19
110	Scathra	18
110	Leyna3	18
110	audiocracked	18
113	TheTrueClipse	17
114	Rich_Kat	16
114	500am	16
114	pixelviolin	16
114	yatsuta	16
114	anbbang	16
119	Steelynan	15
120	eviltunix	14
120	selectrix	14
122	Mahoose	13
122	emrekn	13
122	ibarker21	13
122	HolyVenom	13
126	ExtraDumb	12
126	Swexti	12
126	PortlyPete69	12
129	Dedalus36	11
129	picardred	11
129	SlayerCrypto	11
129	Soap_Bender	11
129	claivin	11
129	HesDemonPants	11
135	joethahobo	10
135	Comma__	10
135	bloodbiter	10
135	slkiey	10
135	masskedman	10
140	ApophisNova	9
140	_Bguette_	9
140	Quincannon	9
140	NameGenerat0r	9
140	lordpipe	9
140	SvenskaHugo	9
140	MyNamaSheff	9
147	diamondgolem35	8
147	tuckerdoodle	8
147	CoffeeNoir	8
147	Prodiginus	8
147	Malorn_Aetherius	8
147	Onennon	8
147	stavgod	8
147	Jij0	8
155	xxPipperDipperxx	7
155	Zaridey	7
157	Zedducius	6
157	SellyZ	6
157	andy_rex	6
157	tobinwilliams	6
157	RobotMinion101	6
157	Rasmanden	6
157	Fuhrer_Teemo	6
157	rotten_mango	6
157	Sral7	6
166	Louiis123	5
166	Tobinator_007	5
166	heckface	5
166	Warlord324	5
166	BreadBacon	5
166	EcksDofficial	5
172	bigstankyy	4
172	Ryker	4
172	Ssor69	4
172	TheSecondLord	4
172	seramalen	4
172	Shiirazuku	4
172	_naturell	4
172	KeruNatsema	4
172	FishyBoy3811	4
172	RodSerlingCringe	4
172	Maenara	4
183	gilesmcriles	3
183	kekhon	3
183	Tjhodskins19	3
183	Nyxiom_	3
183	pappaberg	3
183	Wowful	3
183	JESS_THE_RERE	3
183	Racengan	3
183	ediballbearings	3
183	SSytex_X	3
183	xX_Stalin69_Xx	3
194	Jovaphobic	2
194	_NieToksikpl_	2
194	q_wq	2
194	Sleek_Storm_721	2
194	Houstonion	2
194	ImpavidArcher	2
194	ivorico	2
194	Jackster03	2
194	SquadMonster	2
194	FirsTimeGamingTV	2
194	Vizzoid	2
194	Guillemet	2
194	himak1	2
194	LotusProject	2
194	ImDisconnected_	2
194	Winklepicker279	2
194	CrateOfBoxes	2
194	KnightmareD	2
194	Xclax101	2
194	Logain42	2
194	UltraZombie	2
215	Crowvens	1
215	Ailmast	1
215	teslawolf38	1
215	Kegradigm	1
215	Franco093	1
215	livingdaydreams	1
215	H72l9w	1
215	rarrq	1
215	Cryptacity	1
215	jushykins	1
215	jiggywraps	1
215	MinttyFressh	1
215	MattieHD	1
215	_Dean_123	1
215	Tmb1	1
215	Kkanot	1
215	XboxPanda	1
215	Purplehere	1
215	mariominejedi	1
215	CollinMH06	1
215	_8man	1
215	SokaOtaku	1
215	MousePlays	1
215	Drewen24	1
215	Sky_light_KING	1
215	Nicky19	1
215	ChrisKyleST3	1
215	fw3xywashere	1
215	FreddyFart	1
215	ese_wn_po	1
215	censorsheep	1
215	Steven1282598	1
215	Th6masss	1
215	geekbird	1
215	bruh072	1
215	MakeHistory157	1
215	layabout100	1
215	Omar_Alone	1
215	voiding_	1
215	djancak	1
215	Spenduh	1
215	SammiWolfGirl	1
215	_TCARREIRA_	1
215	_3Stump_	1
215	Kubeusz2010	1
215	tartanboy	1
215	EcksD	1
215	smogfrog	1
215	UrbanPlanner1978	1
215	Jordan_R	1
215	sea_otter_h	1
215	FishisTTV	1
