rank	username	minecraft:crafted/minecraft:anvil
1	rarrq	1524
2	Blaiku	520
3	beeperbeeper5	421
4	noam464	396
5	PlasticOtari	385
6	HellsSponge	263
7	pintsizedrogue	251
8	jnp_gaming	227
9	Hyp3rion_	217
10	Mahoose	212
11	Frozil12	206
12	joethahobo	161
13	500am	147
14	NomadicRobin_	130
15	Werbe	128
15	AssEatrAndLicker	128
17	Smoke____	124
18	YungMaki	113
19	Hisiste	109
20	thewindmillman	107
21	eitanzaki	106
22	Historical_Sand	102
23	Di_infiri	88
24	KingMatthew506	87
25	MattieHD	84
26	gcaisawesome	81
27	Fullut	75
28	Spacewardharpy7	67
29	Akoot_	66
30	Dedalus36	59
30	Blackberry1310	59
30	Nycteus_	59
30	lordpipe	59
34	Cowison	56
35	Chromary	44
36	Jackattack53	39
37	TheShyPig	38
38	Soplight	37
39	Sky_light_KING	35
40	mwrty	34
41	WarHammer3	33
42	set67	32
43	teslawolf38	31
43	Warlord324	31
43	Enderslayerxz3	31
46	Natofthese	30
46	kekhon	30
46	Inbefour	30
46	EveryonesUncle	30
50	Merv__	29
51	PigDab	27
51	Cocoamallows	27
53	Racengan	26
54	thescout7	25
55	SammiWolfGirl	24
56	Inchef	23
56	Eraxa	23
56	Ezekson	23
59	Awyrlas	21
59	r123moore	21
59	claivin	21
62	PhantomsGhost_	20
62	MangoTheFish	20
62	Bumpy419	20
62	TechnoNinja64	20
66	12Magner05	19
66	Lord_Jord	19
66	NameGenerat0r	19
69	EMC_	18
69	chipklip	18
69	stahouo	18
72	XboxPanda	17
72	fffMike	17
72	EcksD	17
75	KarlKaek	16
75	fred870d	16
77	__tomato	15
78	_Virify_	14
78	m_be9	14
78	Snowflowe	14
78	sebastiensaborio	14
78	Skippeh	14
78	kinas45y5	14
84	SaucyDark	13
84	Euclidoris	13
84	RodSerlingCringe	13
84	wezzzi	13
84	Freak_Genius	13
84	fluddd	13
84	vandmanden	13
91	Drlzyy	12
91	xxPipperDipperxx	12
91	audiocracked	12
91	oxfordschool	12
95	I_Am_Mushkin	11
95	oreee	11
95	Skylord_Luke	11
95	Kyrum2169	11
99	Groovy_MoonBird	10
99	ImpavidArcher	10
99	Rumpletaezer	10
99	Soap_Bender	10
99	censorsheep	10
99	MightyWertu	10
99	Kowcio_	10
99	MilleGrug	10
99	Legendosh	10
99	Sral7	10
109	6king6colt6	9
109	ROY4LE	9
109	ApophisNova	9
109	Steven1282598	9
109	Groundler	9
109	WyngGoy	9
109	_TCARREIRA_	9
109	MyNamaSheff	9
117	Jovaphobic	8
117	fanofbands101	8
117	TheSecondLord	8
117	Megarboh	8
117	Marbz_	8
117	SuperPooch06	8
117	Arceus1975	8
117	Meatlaugh	8
117	BumbleBeever	8
117	sp00ky_ghost977	8
117	_3Stump_	8
117	diggydog67	8
129	Bandito_Roamer	7
129	T045RTY	7
129	awesomeoneme	7
129	Comma__	7
129	SeverianTheLame	7
129	ooga47	7
129	Onennon	7
129	yulgur1	7
129	NYJ	7
129	El_Jalapeno	7
129	MovingFish7	7
129	PortlyPete69	7
129	GlitchyPlate810	7
129	obzii	7
129	Kubeusz2010	7
129	RadarHz	7
129	EcksDofficial	7
146	H72l9w	6
146	Mewar	6
146	MyNameIsJobo	6
146	RobotMinion101	6
146	epiksk8erduck	6
146	cedric72	6
146	Maenara	6
146	Fuhrer_Teemo	6
146	Blu3beast	6
146	GravitySaint	6
146	SingedBread	6
146	SexcMf	6
146	KG1999	6
146	lcvezra	6
146	Njensen7	6
146	Hermanni__	6
146	Miko_Fullbuster	6
146	Nicserso	6
146	h2p_emrld	6
165	Natty	5
165	CoffeeNoir	5
165	ShedJr_	5
165	jacxhadow	5
165	bloodbiter	5
