rank	username	minecraft:crafted/minecraft:purpur_stairs
1	lordpipe	255
2	ProfessorBee	160
3	MakeHistory157	136
3	Yamdalorian	136
5	beeperbeeper5	112
6	PigDab	80
7	Nicserso	76
8	vandmanden	64
9	TheEnderMan548	60
10	masskedman	56
11	AltnumberF4	40
12	bigstankyy	36
12	m_be9	36
12	iSammael	36
15	Dakar_	28
16	Lez_	24
17	6king6colt6	20
17	luseis	20
19	joethahobo	16
19	blackeemperor	16
19	hermmm_	16
19	Powowowow	16
23	mwrty	12
24	Fullut	8
24	OreTheBear	8
24	fluddd	8
27	HellsSponge	4
28	pintsizedrogue	3
29	Soplight	2
30	Spacewardharpy7	1
