rank	username	minecraft:crafted/minecraft:tnt
1	EcksD	60506
2	thewindmillman	45139
3	HellsSponge	40498
4	noam464	13316
5	Segotep999	12718
6	PlasticOtari	11052
7	SpaceGrenadier	9435
8	Di_infiri	9179
9	Enderslayerxz3	8176
10	eitanzaki	7616
11	lordpipe	7212
12	Spacewardharpy7	7055
13	bigstankyy	6159
14	HolyVenom	6149
15	joethahobo	5904
16	Werbe	5518
17	Racengan	4910
18	Blaiku	4893
19	MinttyFressh	4133
20	Lord_Jord	3828
21	KG1999	3587
22	set67	3458
23	Smoke____	3355
24	Hyp3rion_	3069
25	jnp_gaming	3047
26	SkateboardR6	2961
27	Winston_Ingram	2687
28	Kowcio_	2564
29	Dedalus36	2458
30	PigDab	2448
31	_NieToksikpl_	2441
32	Winklepicker279	2289
33	ToastedGamingYT	2006
34	Smashic	1563
35	jcool7	1536
36	TheSecondLord	1505
37	MSK__	1494
38	YungMaki	1404
39	HesDemonPants	1397
40	Spenduh	1360
41	fw3xywashere	1355
42	beeperbeeper5	1342
43	PlzNoBM	1231
44	mwrty	1156
45	GlitchyPlate810	999
46	Chromary	991
47	MilleGrug	908
48	SingedBread	835
49	kekhon	825
50	ApophisNova	768
50	MyNamaSheff	768
52	MightyWertu	736
53	Nagasaki_Riku	726
54	monky_irl	705
55	bloodbiter	701
56	Nycteus_	699
57	thescout7	683
58	fffMike	664
59	Steelynan	649
60	Kakolbus	644
61	pintsizedrogue	632
62	12Magner05	625
63	ProfessorBee	610
64	JEWISHBadenBeele	576
64	Zythose	576
66	Rebytre	524
67	FelixPSY375	512
68	selectrix	481
69	Skippeh	464
70	PhantomsGhost_	454
71	_Boipl_	447
72	stahouo	441
73	AltnumberF4	438
74	MissCeleste7	434
75	r123moore	432
75	Jackattack53	432
77	CollinMH06	417
78	DeGodz4life	407
79	pixelviolin	394
80	djancak	390
81	T045RTY	389
82	EveryonesUncle	379
83	Onennon	372
84	Bumpy419	367
85	Frozil12	348
86	Crafter45	331
87	PA_Tech_Gaming	323
88	Historical_Sand	320
89	LilyNova	306
90	TheEnderman548	280
91	Freak_Genius	279
92	tartanboy	275
93	Inchef	268
93	Strangemonkey71	268
95	benediktine1	241
96	hm947	224
97	Arceus1975	200
98	KnightmareD	196
98	KingMatthew506	196
100	Steven1282598	193
101	EMC_	192
101	WET_WET_WET	192
101	sp00ky_ghost977	192
101	2blox	192
105	ccwildfire1	185
106	KarlKaek	183
107	kinas45y5	179
108	KGTV	168
109	LexMakesHistory	164
110	obzii	159
111	Groovy_MoonBird	153
112	gustarbite	152
113	starbits140	147
114	k1ngGilgamesh	146
115	gabriels543	143
116	ItzWqlfy	138
117	Jonte0599	130
118	501g	128
119	Soplight	119
119	Sral7	119
121	Merv__	117
122	mariominejedi	116
123	noodlepack	115
123	Frach23	115
125	Wanjibon	114
126	Soap_Bender	112
127	FreddyFart	106
127	oxfordschool	106
129	DarlaMeow	104
130	Cowison	102
131	fluddd	96
132	MangoTheFish	90
132	pappaberg	90
132	Eczbek	90
135	Chickenchaser2	89
136	EcksDofficial	84
137	Flores991	81
138	jushykins	79
139	SvenskaAlvar	78
140	Yatitay	76
140	__Auspicious	76
140	Dogcorn69420	76
143	Mr_Teddiursa_K	75
144	Hiryu27	72
145	_Virify_	64
145	AuroraValkyrie	64
145	whoaluv	64
145	MakeHistory157	64
145	Njensen7	64
145	alderban107	64
145	Aryamanee	64
152	Luigipunch989	63
153	eviltunix	61
154	El_Jalapeno	52
155	ebanana	51
156	I_Am_Mushkin	48
156	Mattesco	48
158	cedric72	44
159	Groundler	42
160	Akoot_	41
161	Kazekage	39
161	Quaintster	39
163	Nicky19	38
163	BufferAlt9	38
165	ogoa	32
165	Leithz6	32
167	Sabby65	31
167	groggregg42	31
169	claivin	30
170	Legendosh	29
171	Fullut	28
171	mshs94	28
171	LordSpeed37	28
171	sadvavilloso	28
175	cwartzo	25
175	TheShyPig	25
177	Fizznut909	24
178	Dusk_95	23
179	Windo_licker	22
179	censorsheep	22
181	mimbo1211	19
181	SpookyDraggin	19
181	WyngGoy	19
181	PortlyPete69	19
185	lcvezra	18
186	SpouHn	16
186	moolerbooler2	16
186	SSytex_X	16
186	WYFYoyo	16
186	Kateesaur	16
191	godipose	15
191	Nicserso	15
191	Powowowow	15
191	Northernrabbit	15
195	rarrq	14
195	CyrusIsTired	14
195	Xclax101	14
195	Th6masss	14
195	MelodyGaysharks	14
200	lotarp	13
200	m_be9	13
200	himak1	13
203	awesomeoneme	12
203	CaptainDeadBread	12
203	Silly_Mongey	12
203	chipklip	12
203	Hisiste	12
203	Factoroni	12
203	ZeroKraken	12
203	camando92	12
211	SUN_DREAM	11
211	Miko_Fullbuster	11
213	jacxhadow	10
213	PeteO1995	10
213	TTNG	10
213	07shiny	10
217	ImpavidArcher	9
217	Myszoaz	9
217	fr_ser	9
217	ooga47	9
217	NoChumpChange	9
217	Vellu21	9
223	peachfuzz1267	8
223	Euclidoris	8
223	ayqq	8
223	dj1121	8
223	Mpkkiller	8
223	GoofyBread	8
223	Blu3beast	8
223	__tomato	8
223	Zoeyfortnite	8
232	ROY4LE	6
232	ImDisconnected_	6
232	Deathkob	6
232	proxivitoid	6
232	anbbang	6
232	diggydog67	6
238	KingFaenor	5
238	tuckerdoodle	5
238	Reamdin	5
238	Simon_Lowell	5
238	MOSS000	5
238	egglapras	5
238	balin55	5
238	Dreamdbr14	5
246	actuallysadie	4
246	elmer1234	4
246	Rumpletaezer	4
246	ElderRifken	4
246	Barlycorn	4
246	Kyrum2169	4
246	Faart	4
253	hcb238	3
253	gcaisawesome	3
253	SHAOBADMAN	3
253	domagawha	3
253	LilLizardWizard	3
253	TheSeismicDuck	3
253	RedcatVII	3
253	Mistruth	3
253	legoclone09	3
253	NeoJordache	3
263	heysushii	2
263	dimondking777	2
263	Drlzyy	2
263	BlancoFlaco	2
263	Malorn_Aetherius	2
263	xPixelRainx	2
263	xxPipperDipperxx	2
263	epiksk8erduck	2
263	Lord_Zacler	2
263	Jiminbub	2
263	JESS_THE_RERE	2
263	DanTheBuilderino	2
263	NotMeowMix	2
263	Hermanni__	2
263	FishisTTV	2
278	SyK7	1
278	TooManyDuck	1
278	RebelAndroid	1
278	_Dean_123	1
278	Nach0Bear	1
278	Awyrlas	1
278	Robby_Cream	1
278	Motsaro	1
278	DSYisDizzy	1
278	eiC_	1
278	IronyMan69	1
278	loveseeker	1
278	SamZombie	1
278	RyuNeko932000	1
278	Rasmanden	1
278	Leyna3	1
278	MyNameIsDakar	1
278	Quincannon	1
278	Fildyr	1
278	SexcMf	1
278	ayamefag	1
278	LilcoinXX	1
278	Kijiki	1
