rank	username	minecraft:crafted/minecraft:magenta_terracotta
1	thewindmillman	17480
2	YungMaki	2528
3	Rumpletaezer	1896
4	EMC_	1724
5	xolstoi	1440
6	Inbefour	1048
7	joethahobo	728
8	TheSecondLord	576
8	Kowcio_	576
10	sxc_	568
11	lordpipe	556
12	PlasticOtari	504
13	HAIRYCLOUD626	448
14	Steelynan	440
15	Lord_Jord	408
16	Merv__	368
17	kekhon	336
18	Crowman1	264
18	luseis	264
20	Smoke____	261
21	__tomato	192
22	EcksD	168
23	Kakolbus	160
24	pintsizedrogue	128
25	Soplight	120
26	Sral7	88
27	Fuad_R	72
27	mobunni	72
29	theonlymagikarp	64
29	Marbz_	64
29	Blaiku	64
32	HellsSponge	56
32	NameGenerat0r	56
34	pixelviolin	48
35	ImpavidArcher	36
36	Blu3beast	32
37	Huwulling	24
37	beeperbeeper5	24
37	mwrty	24
37	_Boipl_	24
37	fluddd	24
42	Jimb0nat0r	16
42	00000000-0000-0000-0009-01ff0c3e5e4f	16
44	noam464	14
45	gcaisawesome	12
45	Di_infiri	12
45	NNikitas	12
48	Bandito_Roamer	8
48	SaucyDark	8
48	QuiCreans	8
48	titanlax	8
48	Bumpy419	8
48	Onennon	8
48	Mattesco	8
48	Jiminbub	8
48	DarlaMeow	8
48	StinkyDiplomat	8
48	SingedBread	8
48	Spacewardharpy7	8
48	ItsDeltaMC	8
48	The_SlideV5	8
62	Skylord_Luke	7
63	Legendosh	2
64	EngagedGrub41	1
