rank	username	minecraft:crafted/minecraft:leather_horse_armor
1	KingMatthew506	94
2	emreknugrlu	45
3	Mahoose	42
4	beeperbeeper5	37
4	robonya_	37
6	_i_ERROR_i_	35
7	Soplight	31
8	royal_2	22
8	ROY4LE	22
10	Dakar_	18
10	ConnorDanky_	18
12	Luminad3	14
13	geekbird	12
14	Hiryu27	10
15	Werbe	9
16	oscminus	8
17	RebelAndroid	7
17	excelsionprime	7
17	pixelviolin	7
17	EcksD	7
21	Merv__	6
21	T045RTY	6
21	pretty_pink_reno	6
21	Ezekson	6
21	Enderxz3	6
26	hanaryheatwave	5
27	thewindmillman	4
27	ReflexCode	4
29	CoffeeNoir	3
29	kekhon	3
29	Onennon	3
29	Kubeusz2010	3
33	Apollo_993	2
33	MrExplorer	2
33	MattieHD	2
33	John6970	2
33	burbankbuilder28	2
33	Bumpy419	2
33	RebytreGT	2
33	wrinkledpiglet	2
33	luseis	2
33	claivin	2
33	PlasticOtari	2
44	BPTY4618	1
44	ImpavidArcher	1
44	lotarp	1
44	Lez_	1
44	TheFlfthHorseman	1
44	Blackberry1310	1
44	bloodbiter	1
44	Mattesco	1
44	EdGalbraith	1
44	Kowcio_	1
44	Yamdalorian	1
