rank	username	minecraft:crafted/minecraft:red_carpet
1	joethahobo	27036
2	YungMaki	22158
3	beeperbeeper5	16978
4	Huwulling	11433
5	Spacewardharpy7	9508
6	EcksD	7359
7	thewindmillman	7323
8	HellsSponge	6052
9	TheSecondLord	3213
10	r123moore	3093
11	Soplight	2209
12	Lez_	2157
13	Onennon	1530
14	Legendosh	1341
15	Frozil20	1163
16	Manaateee	1152
17	Lord_Jord	855
18	ConnorDanky_	735
19	Skylord_Luke	672
20	Steelynan	663
21	heckface	621
22	Mattesco	616
23	_i_ERROR_i_	609
24	Blaiku	579
25	xxPipperDipperxx	573
26	Di_infiri	552
27	Inchef	537
28	Quaintster	486
29	PazinGaming	478
30	weabis	465
31	Creativebuilder2	453
32	EveryonesUncle	423
33	Touched_Bread	384
34	NameGenerat0r	361
35	jnp_gaming	360
36	El_Jalapeno	351
37	Mahoose	342
38	FreakGenius	333
39	Historical_Sand	330
39	Swexti	330
41	_Dean_123	291
41	PaperCanvas	291
43	Crowman1	288
43	emrekn	288
45	500am	282
45	Xclax101	282
47	IamCL4SSY	264
47	SkateboardR6	264
49	Blackberry1310	261
50	UltraZombie	255
51	Merv__	252
51	AdmiralSmoke	252
53	k_ce	228
54	m_be9	224
55	Sral7	222
56	gcaisawesome	216
57	mwrty	204
57	Ezekson	204
59	MinttyFressh	192
59	Eczbox	192
59	xDraggin	192
59	lillips	192
59	fffMike	192
59	Eczbek	192
59	h2p_emrld	192
66	Rumpletaezer	177
67	PlasticOtari	167
68	set67	160
69	excelsionprime	159
69	xzvu	159
69	KingMatthew506	159
72	Winston_Ingram	150
73	Smashic	144
74	SaucyDark	141
75	fw3xy74	138
76	Groundler	135
77	EMC_	132
77	theonlymagikarp	132
77	NoChumpChange	132
77	fluddd	132
81	himak1	128
82	noam464	126
83	bloodbiter	123
83	CalebDHawk	123
85	MoistMicrowave	119
86	thescout7	117
87	Hyp3rion_	105
88	sufjanlover	104
89	Eraxa	102
90	RebelAndroid	99
90	Hermanni__	99
92	Werbe	96
92	MightyWertu	96
92	Cocoamallows	96
92	Segotep999	96
96	cedric72	91
97	Ryan_GEMS	90
98	pintsizedrogue	87
99	kekhon	81
99	BumbleBeever	81
99	Kowcio_	81
102	Inbefour	75
103	lordpipe	72
104	Chromary	69
105	drunkeeez	63
105	LilyNova	63
107	Gundam_Steven	60
107	NieToksikpl	60
109	RoskobiOne	57
110	_Bguette_	56
111	burbankbuilder28	54
112	Kubelz	48
112	Fakiuss	48
112	wwwwinnebagoooo	48
112	ZoomieZoomie	48
112	xolstoi	48
117	Snowflowe	42
117	MinuteMira	42
119	John6970	40
120	TechnoNinja64	39
121	CoffeeNoir	36
121	redikul	36
121	andy_rex	36
124	Megarboh	33
124	handsome_strong	33
126	Doom_melon	32
127	XHectorSalamanca	30
127	XboxPanda	30
127	NomadicRobin_	30
127	Ze_BaronKrigler	30
127	Jimb0nat0r	30
132	Cowison	27
132	Tolhart	27
132	eitanzaki	27
132	The_Fulgurator	27
132	Akoot_	27
132	MAns_44	27
132	Factoroni	27
139	SlowMoNinja1994	24
139	T045RTY	24
139	Krowuss	24
139	MakeHistory157	24
139	Optiprimus	24
139	BlankityMcBlank	24
139	Deguns123	24
146	MattieHD	21
146	FishyBoy3811	21
146	KermitTheKripple	21
146	The_slideV3	21
146	Nicserso	21
151	Prismyst	18
151	Prodiginus	18
151	Kakolbus	18
151	corpsecity	18
151	MustardDrinker	18
151	Kijiki	18
157	AuroraValkyrie	16
157	MovingFish7	16
159	RosaDoesMC	15
159	Mr_Byzantine	15
159	dabloons	15
159	Foof13	15
159	PegLegPete93	15
159	TheShyPig	15
159	Maenara	15
159	_Karmaa	15
159	_3Stump_	15
168	_Huge_Male_	12
168	SmashingPump	12
168	Reamdin	12
168	rarrq	12
168	Fullut	12
168	LeauVox4921	12
168	Meatlaugh	12
168	Fildyr	12
168	_Meow_Mix	12
168	Druid95	12
178	CLG_Kata	9
178	I_Am_Mushkin	9
178	Myszoaz	9
178	IgnoredBee	9
178	Ozixar	9
178	titanlax	9
178	jacxhadow	9
178	SuperPooch06	9
178	Solar_Power	9
178	nut_e	9
178	TheWildMateo	9
178	AlphaWolfPlaysMC	9
178	luseis	9
178	Racengan	9
178	Myntsys	9
178	ElectricDragon81	9
178	SammiWolfGirl	9
178	xorompole	9
178	CattSoup	9
178	BreadBacon	9
198	TooManyDuck	8
198	Natty	8
198	Zythose	8
198	Reneedium	8
202	ColeSnyder	6
202	ShedJr_	6
202	12Magner05	6
202	ZeroAbyssTTV	6
202	shadowthemonkey	6
202	Winklepicker279	6
202	Windo_licker	6
202	pappaberg	6
202	WarMachina	6
202	Rebytre	6
202	Skomo	6
202	420BreadLizard	6
202	Deathkob	6
202	DarlaMeow	6
202	FadedSpade82	6
202	UCP_TheKingK	6
202	SSytex_X	6
202	lcvezra	6
202	obzii	6
202	PlzNoBM	6
202	Quotary	6
223	H72l9w	3
223	nocturne78	3
223	eclipseboi	3
223	BilboBaggins23	3
223	Torza	3
223	Covalents	3
223	fr_ser	3
223	Hoid_the_Roamer	3
223	Syropatathe	3
223	Lunkuku	3
223	Shin69	3
223	djancak	3
223	xof_on_microwave	3
223	Enderxz3	3
223	WYFYoyo	3
