rank	username	minecraft:crafted/minecraft:diorite_wall
1	joethahobo	936
2	Xalithia	768
3	Froste131	720
4	Marbz_	552
5	LuvLuvLove	496
6	Frozil20	450
7	HellsSponge	318
8	himak1	246
9	benediktine1	192
10	EMC_	186
11	Mr_Byzantine	184
12	MrExplorer	156
13	KarlKaek	150
14	MisfitsMike	138
15	ImpavidArcher	128
16	Werbe	126
16	djancak	126
18	Winston_Ingram	120
19	Doom_melon	114
19	Meatlaugh	114
21	CattSoup	108
22	Studyhallsaver	102
23	12Magner05	96
23	FreeMoCo2009	96
25	r123moore	78
26	eitanzaki	66
26	Huwulling	66
26	QuiCreans	66
29	Soplight	61
30	Lez_	60
30	GLLogan2	60
30	RedcatVII	60
30	mihimihimihi	60
30	Cache3	60
35	Inbefour	54
36	milltesco	48
36	Bumpy419	48
38	TheShyPig	42
38	DkansK	42
40	Legendosh	40
40	PlasticOtari	40
42	titanlax	36
42	ApophisNova	36
42	Fuhrer_Teemo	36
42	MyNamaSheff	36
46	_i_ERROR_i_	32
47	AuroraValkyrie	30
47	orxngejuice	30
47	Di_infiri	30
50	beeperbeeper5	26
51	_Huge_Male_	24
51	NotMeanttoChange	24
51	Dakar_	24
51	Fuad_R	24
55	U_Mos_	20
56	shineh10	18
56	bloodbiter	18
56	FreakGenius	18
56	Spacewardharpy7	18
60	SteveCraftBlocks	16
61	Napoleonpancake	12
61	PazinGaming	12
61	Tersea_	12
61	Inchef	12
61	Gzrdy	12
61	Krowuss	12
61	Manaateee	12
61	ReflexCode	12
61	cuddlyMonster	12
61	Kowcio_	12
61	Yamdalorian	12
72	Mahoose	9
73	teslawolf38	6
73	Alteriity	6
73	Deerfoot	6
73	Barlycorn	6
73	_Mythic____	6
73	07shiny	6
73	mobunni	6
73	Enderxz3	6
81	Avocadogerms	5
82	lorywithay	2
82	luseis	2
82	pixelviolin	2
85	TheSecondLord	1
85	Pumpkin_P_Patch	1
85	SpacesickPrism	1
85	KamFurnace	1
