rank	username	minecraft:crafted/minecraft:white_stained_glass
1	Hyp3rion_	77752
2	noam464	71621
3	Smoke____	40408
4	joethahobo	37440
5	Spacewardharpy7	33356
6	beeperbeeper5	31560
7	Jackattack53	26980
8	lordpipe	22800
9	Iamthejo	18878
10	Blaiku	17880
11	Di_infiri	16136
12	mihimihimihi	10926
13	stavgod	9080
14	Blu3beast	8056
15	eitanzaki	8042
16	Snowflowe	6264
17	YungMaki	5248
18	Mewar	5096
19	PigDab	4488
20	obzii	3880
21	Mahoose	3648
22	thewindmillman	3456
23	ImpavidArcher	3184
24	Groundler	3120
25	Werbe	3104
26	Alteriity	2768
27	pintsizedrogue	2720
28	Skylord_Luke	2592
29	__tomato	2408
30	Lez_	2280
31	m_be9	2259
32	Enderxz3	2144
33	XboxPanda	2128
34	Kowcio_	2064
35	Fuad_R	2048
36	cog	1936
36	EcksD	1936
38	Xalithia	1840
39	Arceus1975	1824
40	Mythic1130	1776
40	Skippeh	1776
42	EMC_	1680
43	jnp_gaming	1552
44	MakeHistory157	1536
45	Sheldor097	1472
46	BumbleBeever	1432
47	Chromary	1376
48	mwrty	1360
49	emrekn	1312
50	TheSecondLord	1216
51	Soplight	1200
52	Blackberry1310	1192
53	luseis	1184
54	Quincannon	1176
55	RoofTyler	1168
56	Incinere	1136
57	Kyrum2169	1120
58	El_Jalapeno	1040
59	anbbang	968
60	EngagedGrub41	928
61	mawileite	912
62	JESS_THE_RERE	864
63	MightyWertu	832
64	cedric72	824
65	RobotMinion101	816
65	Racengan	816
67	AlexxO_o	776
68	Merv__	768
68	SellyZ	768
68	LexMakesHistory	768
71	12Magner05	760
72	rarrq	752
73	Sral7	744
74	groofles	704
75	SmashingPump	632
76	Akoot_	624
77	ApophisNova	600
77	MyNamaSheff	600
79	Inbefour	584
80	Rumpletaezer	560
81	Frozil20	552
82	h2p_emrld	512
83	xDraggin	504
84	kekhon	496
85	jimintyy	488
86	shineh10	432
87	Yatitay	424
88	_Karmaa	416
89	Cocoamallows	408
90	lillips	384
90	MyNameIsDakar	384
90	iSammael	384
93	Lord_Jord	376
94	_Huge_Male_	368
94	Mattesco	368
94	IamCL4SSY	368
94	FreakGenius	368
98	burbankbuilder28	352
98	Elastiq	352
100	T045RTY	320
100	Eerini	320
102	CoffeeNoir	312
102	Tyrannosplart	312
104	teslawolf38	296
105	Motsaro	272
105	fluddd	272
105	Ezekson	272
105	xolstoi	272
109	Winston_Ingram	264
109	ConnorDanky_	264
111	_Virify_	256
111	_stets	256
111	ExtraDumb	256
111	NinjaKnifeKill	256
111	titanlax	256
111	Inchef	256
111	TheShyPig	256
118	500am	240
119	Eraxa	224
120	ssleepless	200
121	thescout7	192
121	Hoid_the_Roamer	192
121	Barlycorn	192
124	DTwenty	184
124	SpacesickPrism	184
126	xX_Stalin69_Xx	176
127	FazeObama69	160
127	ShedJr_	160
127	eiC_	160
130	ROY4LE	144
130	prizm_	144
130	TheTrueClipse	144
133	diamondgolem35	136
133	PlasticOtari	136
135	q_wq	128
135	MattieHD	128
135	drunkeeez	128
135	SingedBread	128
135	CattSoup	128
140	Marbz_	120
141	MinttyFressh	112
142	Parcc	104
143	NieToksikpl	96
143	SvenskaHugo	96
145	Natty	80
145	Myszoaz	80
147	set67	72
147	SSytex_X	72
149	Tommhh	64
149	nocturne78	64
149	M_Patata	64
149	tobinwilliams	64
149	Rebytre	64
149	MasterNueve	64
149	Decaying_Lotus	64
149	Jij0	64
149	ZoomieZoomie	64
149	Legendosh	64
159	SharpDev	56
160	Huwulling	48
160	Crowman1	48
160	lorpus	48
160	NoxxxxiS	48
160	MyNameIsJobo	48
160	Jeteight	48
160	ooga47	48
160	Dusk_95	48
160	lcvezra	48
160	Steelynan	48
160	Kubeusz2010	48
160	UrbanPlanningEx	48
160	Jimb0nat0r	48
173	ZaneABrain	40
173	Swexti	40
173	cheerytomato	40
173	Ch4osDoom64	40
173	Winklepicker279	40
173	Deathkob	40
173	NameGenerat0r	40
180	Iagoku	32
180	Septemb3r	32
180	Zythose	32
183	SaucyDark	24
183	HollieDaNugget	24
183	oreee	24
183	Ardennes	24
183	SteveCraftBlocks	24
183	Smashic	24
183	ChillenChiggen	24
183	Azmodan_246	24
183	Wowful	24
183	The_slideV3	24
183	geekbird	24
183	PortlyPete69	24
183	fffMike	24
183	tompup	24
197	HellsSponge	20
198	tuckerdoodle	16
198	Stynxy	16
198	Notta	16
198	himak1	16
198	Eraza	16
198	orxngejuice	16
198	Solar_Power	16
198	SexcMf	16
198	TheEnderMan548	16
198	bloomkieren	16
208	Mr_Byzantine	8
208	ImNotYuqii	8
208	Prismyst	8
208	ITDV	8
208	CliffEmAll	8
208	BobDeBouwer1337	8
208	ProfessorBee	8
208	Megarboh	8
208	_Dean_123	8
208	Enigma0251	8
208	xxPipperDipperxx	8
208	RIPB0ZO	8
208	ARandomHedge	8
208	Felenov	8
208	Onennon	8
208	LilLizardWizard	8
208	dezxalo	8
208	Maenara	8
208	Xclax101	8
208	sp00ky_ghost977	8
208	Kijiki	8
208	jaimshae	8
208	Hermanni__	8
208	tartanboy	8
208	xorompole	8
208	Quotary	8
208	little_dUki	8
208	TechnoNinja64	8
208	calamariclam_I	8
208	FishisTTV	8
