rank	username	minecraft:crafted/minecraft:cobbled_deepslate_stairs
1	gcaisawesome	5928
2	joethahobo	1720
3	EMC_	448
4	Colmer94	396
5	CattSoup	376
6	milltesco	360
6	MisfitsMike	360
8	non089	308
9	Huwulling	200
10	MuffinManzz	188
11	SOA1RR	172
12	TheKingK_	169
13	Mattesco	165
14	Mr_Byzantine	164
15	BeardBois	148
16	gamerlord1324	136
17	MC_Gamer_Geek	128
17	NLKBuilder	128
19	Btabtab	120
20	QuiCreans	119
21	skroobiez	112
22	Enderxz3	105
23	Crowman1	104
24	k_ce	101
25	toastfetchd	100
26	GildedRemnant	93
27	Manaateee	92
27	bungalowbeet	92
29	Kubelz	84
29	prizm_	84
31	corpsecity	83
32	WinterSepp	80
32	tuckerdoodle	80
34	dartwaffle	72
35	shineh10	64
35	hm947	64
35	QuesoCrusaderIII	64
35	Njensen7	64
39	Prismyst	60
39	AltnumberF4	60
41	Sorry_Arey07	56
42	_Huge_Male_	55
42	PlasticOtari	55
44	BPTY4618	52
44	Invintic	52
46	Smashic	48
47	Werbe	44
48	Rebytre	41
49	BubblyPrototype_	40
49	Skylord_Luke	40
49	MAns_44	40
52	doublemaki	36
52	SpicyDuckMan	36
54	Reneedium	30
54	Yamdalorian	30
56	cuddlyMonster	26
57	pintsizedrogue	25
57	WYFYoyo	25
59	fw3xy	24
60	U_Mos_	21
61	ZoomieZoomie	20
62	luseis	18
63	PazinGaming	16
63	12Magner05	16
65	Jackattack53	13
66	Tersea_	12
66	Mookle96	12
66	91stCataclysm	12
66	hanaryheatwave	12
66	Krowuss	12
66	Nicserso	12
72	MattieHD	10
72	CalebDHawk	10
74	Kowcio_	9
75	CoffeeNoir	8
75	Megarboh	8
75	olliebollie48	8
75	nagyvad	8
79	thatsjustfrankie	6
80	ECstardust	4
80	RatatJuice	4
80	RebelAndroid	4
80	LagVibes	4
80	lorywithay	4
80	Lez_	4
80	MrKrabOnCoke	4
80	rarrq	4
80	TheSecondLord	4
80	hydrothebot	4
80	ZeroAbyssTTV	4
80	R1CHY2K	4
80	Samificator	4
80	TJawesome09	4
80	DJzombiehunter	4
80	weabis	4
80	Soplight	4
80	00000000-0000-0000-0009-01ff0c3e5e4f	4
98	beeperbeeper5	2
98	pixelviolin	2
100	Galactic_Badger	1
100	EveryonesUncle	1
