rank	username	minecraft:crafted/minecraft:nether_brick_stairs
1	CACTUSLAD	6039
2	Frozil20	2384
3	Zythose	1626
4	joethahobo	1408
5	BobDeBouwer1337	1192
6	m_be9	1108
7	TheShyPig	992
8	TheBiggestFeller	584
9	Spacewardharpy7	560
10	Di_infiri	516
11	Kakolbus	368
12	PlasticOtari	317
13	Vorlice	312
14	Bandito_Roamer	252
15	ciemacigans	236
16	burbankbuilder28	212
17	MyNameIsJobo	208
17	Smoke____	208
19	starbits140	176
20	ROY4LE	172
21	HellsSponge	167
22	yulgur1	160
23	eitanzaki	116
24	Eraxa	112
25	teslawolf38	104
26	xxPipperDipperxx	100
27	Zedducius	96
27	Biites	96
29	Prismyst	88
30	surfinggiraffejp	84
31	_Dean_123	80
31	Kamflame10	80
33	r123moore	76
33	RobotMinion101	76
35	Esme_1	72
35	PigDab	72
37	bitsplease	68
38	DermeinUser	64
38	AlphaWolfPlaysMC	64
40	Freeman666	60
41	rarrq	56
41	_Nuf	56
43	Merv__	52
44	RoofTyler	48
44	Decaying_Lotus	48
44	Nargotah	48
47	Rebytre	40
47	El_Jalapeno	40
49	lcvezra	36
50	GlitchyPlate810	32
51	6king6colt6	28
51	Werbe	28
51	The_slideV3	28
54	Moofyman	26
55	Jindong	24
55	FlashMigma	24
57	lorpus	20
57	Meepcraft	20
59	Blackberry1310	16
59	Chromary	16
59	Bumpy419	16
59	stellarjay	16
59	Jimb0nat0r	16
64	chipklip	12
64	Yatitay	12
64	ShedJr_	12
64	Zaridey	12
64	Hyp3rion_	12
64	Billious	12
64	Dusk_95	12
71	Mahoose	9
72	chlorinex	8
72	4774	8
72	2Stout	8
72	Maenara	8
72	EveryonesUncle	8
72	fluddd	8
72	Typadopoulos	8
79	Mr_Byzantine	4
79	diamondgolem35	4
79	bloodbiter	4
79	500am	4
79	breadbowlgamer	4
79	ApophisNova	4
79	binman420	4
79	mobunni	4
79	Skippeh	4
79	OfficerAnvil	4
79	EcksD	4
79	MyNamaSheff	4
79	00000000-0000-0000-0009-01ff0c3e5e4f	4
92	beeperbeeper5	3
92	Quinasin	3
94	SuperPooch06	1
