rank	username	minecraft:crafted/minecraft:gray_wool
1	Kowcio_	1232
2	xxPipperDipperxx	849
3	TheSecondLord	564
4	FreakGenius	518
5	QuiCreans	514
6	Sral7	462
7	Eraxa	326
8	DarlaMeow	320
8	EcksD	320
10	Incinere	299
11	Lez_	286
12	Di_infiri	256
13	Enderxz3	220
14	Mattesco	211
15	Werbe	192
16	kekhon	146
17	ApophisNova	128
17	MyNamaSheff	128
19	thewindmillman	125
20	Mr_Byzantine	112
20	Spacewardharpy7	112
22	fffMike	111
23	PlasticOtari	103
24	Frozil20	96
25	JETrotter	91
26	pintsizedrogue	80
27	EveryonesUncle	70
28	Manaateee	65
29	eitanzaki	64
29	IamCL4SSY	64
29	NomadicRobin_	64
29	Quaintster	64
29	Yamdalorian	64
34	Cache3	51
35	NameGenerat0r	45
36	bloodbiter	40
36	M_Patata	40
36	MasterNueve	40
39	Chromary	38
40	Huwulling	31
41	himak1	28
42	_Dean_123	26
42	Hyp3rion_	26
44	Merv__	22
44	Quotary	22
46	Legendosh	20
47	Kakolbus	17
48	Ezekson	15
49	jushykins	12
49	Awyrlas	12
51	_witch_craft_	11
52	MattieHD	10
52	TheShyPig	10
54	SSytex_X	9
55	Mahoose	8
55	Historical_Sand	8
55	XxCookiequeenxX	8
58	teslawolf38	6
58	dopplexd	6
58	RobotMinion101	6
58	Onennon	6
58	EfficientC52	6
58	Winston_Ingram	6
58	Njensen7	6
65	Scathra	4
65	GooseWithin	4
65	doublemaki	4
65	TheKingK_	4
69	Cryptacity	3
69	StarCookiees_	3
71	IgnoredBee	2
71	Dblikstad	2
71	royal_2	2
71	Blackberry1310	2
71	ROY4LE	2
71	The11thDoctor	2
71	luseis	2
71	pixelviolin	2
79	Alteriity	1
79	rarrq	1
79	imcombxt	1
79	Zaridey	1
79	lordpipe	1
79	Invintic	1
