rank	username	minecraft:crafted/minecraft:globe_banner_pattern
1	robertsnose	8
1	corpsecity	8
3	pintsizedrogue	5
4	Onennon	4
5	Hpdinosaur	2
5	beeperbeeper5	2
5	BobDeBouwer1337	2
5	_witch_craft_	2
5	John6970	2
5	NameGenerat0r	2
5	StarCookiees_	2
5	ConnorDanky_	2
13	CLG_Kata	1
13	PhantomsGhost_	1
13	Merv__	1
13	ECstardust	1
13	SaucyDark	1
13	RebelAndroid	1
13	abdomera	1
13	Huwulling	1
13	Literally_Rat	1
13	Mahoose	1
13	Lez_	1
13	Historical_Sand	1
13	NieToksikpl	1
13	kekhon	1
13	Fullut	1
13	Inchef	1
13	Winklepicker279	1
13	mariominejedi	1
13	Werbe	1
13	TheShyPig	1
13	IamCL4SSY	1
13	Jiminbub	1
13	EveryonesUncle	1
13	luseis	1
13	Moss_2006	1
13	pixelviolin	1
13	Soplight	1
13	stellarjay	1
13	Luigipunch989	1
13	TheBananaKat	1
13	DairyNickel756	1
13	MandenR1	1
