rank	username	minecraft:crafted/minecraft:smooth_quartz_slab
1	wwwwinnebagoooo	2880
2	iSammael	2442
3	Ezekson	1764
4	Hyp3rion_	1682
5	Blaiku	1478
6	noam464	1368
7	lordpipe	1030
8	joethahobo	978
9	ImpavidArcher	846
10	Di_infiri	816
11	Deerfoot	783
12	Spacewardharpy7	726
13	Fuad_R	724
14	Frozil20	648
15	Eraxa	636
16	NotMeanttoChange	594
17	SammiWolfGirl	564
18	NameGenerat0r	486
19	MightyWertu	426
20	Mythic1130	390
21	jnp_gaming	348
22	lillips	340
23	FreakGenius	252
24	Lez_	246
25	Mattesco	228
26	luseis	212
27	Sral7	204
28	The_slideV3	192
29	fluddd	162
30	m_be9	150
30	GooseWithin	150
32	Chromary	126
33	EMC_	120
34	AltnumberF4	116
35	The_SlideV5	108
36	himak1	102
36	Marbz_	102
36	Lutres_Torane	102
39	kekhon	96
40	mihimihimihi	94
41	_Huge_Male_	88
42	TheSecondLord	84
43	Kubeusz2010	78
44	EveryonesUncle	66
45	YungMaki	64
46	pintsizedrogue	60
46	oreee	60
46	Touched_Bread	60
46	xolstoi	60
50	Merv__	36
50	KarlKaek	36
50	ApophisNova	36
50	cedric72	36
50	MyNamaSheff	36
55	rarrq	30
55	Blackberry1310	30
55	corvidpartyfor6	30
55	theonlymagikarp	30
55	mobunni	30
60	_Dean_123	24
61	Soplight	22
62	Akoot_	20
63	M_Patata	18
63	FishyBoy3811	18
63	_Karmaa	18
63	MasterNueve	18
67	AuroraValkyrie	12
67	hm947	12
67	LexMakesHistory	12
67	RoofTyler	12
67	HellsSponge	12
72	bearlystraight	8
72	UCP_TheKingK	8
74	Mahoose	6
74	Prismyst	6
74	Fullut	6
74	SuperPooch06	6
74	TheTommyGun63	6
74	CalebDHawk	6
74	PlasticOtari	6
74	Smoke____	6
82	Zythose	2
