rank	username	minecraft:crafted/minecraft:cobbled_deepslate_slab
1	gcaisawesome	20440
2	EMC_	5544
3	mihimihimihi	2986
4	YungMaki	1152
5	benediktine1	1026
6	NLKBuilder	768
7	prizm_	594
8	CattSoup	510
9	AltnumberF4	464
10	iSammael	384
11	tuckerdoodle	294
12	Kubelz	258
13	SvenskaHugo	192
13	00000000-0000-0000-0009-01fbab7ea71d	192
15	Rebytre	150
16	SquadMonster	54
17	Hermanni__	48
17	00000000-0000-0000-0009-01f073f37a91	48
19	Ryker	42
20	hm947	40
21	Smashic	36
22	ImpavidArcher	28
23	pintsizedrogue	26
24	dartwaffle	24
25	Marbz_	18
25	Jackattack53	18
25	WYFYoyo	18
28	RatatJuice	12
28	Winklepicker279	12
28	Soplight	12
31	UCP_TheKingK	10
32	Smoke____	8
33	Merv__	6
33	Prismyst	6
33	JuuustYeet	6
33	Crowman1	6
33	corvidpartyfor6	6
33	91stCataclysm	6
33	thewindmillman	6
33	_Boipl_	6
33	Spacewardharpy7	6
33	non089	6
33	NATE_the_HALO	6
33	CalebDHawk	6
33	ZoomieZoomie	6
33	Iamthejo	6
47	Megarboh	4
47	PlasticOtari	4
49	beeperbeeper5	2
49	calamariclam_I	2
